,n,k,n_cycles,n_agents_in_cycles,n_matches,percent_in_cycles
0,4000,4,0,0,3553,0.0
1,4000,4,1,12,3504,0.003424657534246575
2,4000,4,1,3,3523,0.0008515469770082316
3,4000,4,1,3,3542,0.0008469791078486731
4,4000,4,0,0,3549,0.0
5,4000,4,2,4,3511,0.0011392765593847907
6,4000,4,0,0,3503,0.0
7,4000,4,0,0,3552,0.0
8,4000,4,0,0,3517,0.0
9,4000,4,1,2,3522,0.0005678591709256105
10,4000,4,2,9,3522,0.002555366269165247
11,4000,4,4,16,3527,0.004536433229373405
12,4000,4,1,20,3529,0.0056673278549164065
13,4000,4,1,9,3542,0.002540937323546019
14,4000,4,2,18,3535,0.005091937765205092
15,4000,4,1,5,3542,0.001411631846414455
16,4000,4,0,0,3536,0.0
17,4000,4,0,0,3507,0.0
18,4000,4,0,0,3506,0.0
19,4000,4,0,0,3526,0.0
20,4000,4,0,0,3527,0.0
21,4000,4,1,10,3531,0.002832058906825262
22,4000,4,1,3,3514,0.0008537279453614115
23,4000,4,0,0,3544,0.0
24,4000,4,0,0,3547,0.0
25,4000,4,0,0,3518,0.0
26,4000,4,1,2,3512,0.0005694760820045558
27,4000,4,3,29,3541,0.008189776899181022
28,4000,4,0,0,3543,0.0
29,4000,4,1,10,3516,0.002844141069397042
30,4000,4,1,2,3510,0.0005698005698005698
31,4000,4,1,9,3542,0.002540937323546019
32,4000,4,0,0,3534,0.0
33,4000,4,2,10,3528,0.002834467120181406
34,4000,4,0,0,3521,0.0
35,4000,4,1,7,3511,0.0019937339789233835
36,4000,4,0,0,3533,0.0
37,4000,4,1,5,3521,0.0014200511218403862
38,4000,4,1,3,3504,0.0008561643835616438
39,4000,4,3,28,3519,0.007956805910770106
40,4000,4,2,12,3537,0.0033927056827820186
41,4000,4,2,11,3519,0.00312588803637397
42,4000,4,2,6,3520,0.0017045454545454545
43,4000,4,2,23,3528,0.006519274376417234
44,4000,4,0,0,3519,0.0
45,4000,4,0,0,3523,0.0
46,4000,4,2,8,3553,0.002251618350689558
47,4000,4,0,0,3527,0.0
48,4000,4,0,0,3540,0.0
49,4000,4,1,3,3520,0.0008522727272727272
50,4000,4,3,10,3519,0.002841716396703609
51,4000,4,0,0,3520,0.0
52,4000,4,1,6,3528,0.0017006802721088435
53,4000,4,2,10,3490,0.0028653295128939827
54,4000,4,2,10,3532,0.0028312570781426952
55,4000,4,1,2,3538,0.0005652911249293386
56,4000,4,3,24,3551,0.006758659532526049
57,4000,4,1,4,3557,0.001124543154343548
58,4000,4,2,13,3531,0.0036816765788728408
59,4000,4,2,12,3534,0.003395585738539898
60,4000,4,2,10,3528,0.002834467120181406
61,4000,4,3,8,3534,0.0022637238256932655
62,4000,4,0,0,3516,0.0
63,4000,4,0,0,3531,0.0
64,4000,4,2,11,3518,0.0031267765776009098
65,4000,4,1,13,3541,0.0036712792996328723
66,4000,4,1,4,3533,0.0011321822813472968
67,4000,4,1,3,3532,0.0008493771234428086
68,4000,4,1,4,3518,0.0011370096645821489
69,4000,4,0,0,3524,0.0
70,4000,4,1,2,3544,0.000564334085778781
71,4000,4,0,0,3528,0.0
72,4000,4,0,0,3533,0.0
73,4000,4,0,0,3514,0.0
74,4000,4,0,0,3542,0.0
75,4000,4,1,5,3543,0.0014112334180073384
76,4000,4,1,10,3523,0.002838489923360772
77,4000,4,0,0,3529,0.0
78,4000,4,1,12,3527,0.003402324922030054
79,4000,4,1,2,3520,0.0005681818181818182
80,4000,4,0,0,3521,0.0
81,4000,4,1,2,3533,0.0005660911406736484
82,4000,4,5,24,3544,0.006772009029345372
83,4000,4,1,15,3516,0.004266211604095563
84,4000,4,2,4,3506,0.0011409013120365088
85,4000,4,0,0,3554,0.0
86,4000,4,3,18,3526,0.005104934770277935
87,4000,4,0,0,3515,0.0
88,4000,4,0,0,3516,0.0
89,4000,4,2,10,3512,0.0028473804100227792
90,4000,4,1,5,3518,0.0014212620807276862
91,4000,4,1,3,3512,0.0008542141230068337
92,4000,4,0,0,3530,0.0
93,4000,4,1,10,3524,0.0028376844494892167
94,4000,4,1,19,3509,0.005414648047876888
95,4000,4,0,0,3534,0.0
96,4000,4,1,2,3521,0.0005680204487361545
97,4000,4,1,10,3528,0.002834467120181406
98,4000,4,0,0,3534,0.0
99,4000,4,0,0,3541,0.0
