,n,k,cycle_lengths_eadam,as_percent_of_matches_eadam
0,2000,3,2,0.0011961722488038277
1,2000,3,2,0.0011792452830188679
2,2000,3,4,0.002357100766057749
3,2000,3,2,0.0011869436201780415
4,2000,3,3,0.0017804154302670622
5,2000,3,2,0.0011904761904761906
6,2000,3,2,0.001183431952662722
7,2000,3,5,0.0029463759575721863
8,2000,3,3,0.0017825311942959
9,2000,3,3,0.0017825311942959
10,2000,3,3,0.0017793594306049821
11,2000,3,3,0.001791044776119403
12,2000,3,2,0.001183431952662722
13,2000,3,3,0.0017921146953405018
14,2000,3,2,0.0011926058437686344
15,2000,3,3,0.0018028846153846155
16,2000,3,8,0.004784688995215311
17,2000,3,6,0.003592814371257485
18,2000,3,8,0.004761904761904762
19,2000,3,5,0.0029832935560859188
20,2000,3,2,0.0011799410029498525
21,2000,3,4,0.002390914524805738
22,2000,3,2,0.001195457262402869
23,2000,3,5,0.0029815146094215863
24,2000,3,3,0.0018018018018018018
