,n,k,n_changes_eadam,n_matches
0,2000,5,72,1810
1,2000,5,34,1806
2,2000,5,74,1821
3,2000,5,98,1819
4,2000,5,62,1810
5,2000,5,30,1811
6,2000,5,40,1812
7,2000,5,24,1833
8,2000,5,102,1805
9,2000,5,30,1825
10,2000,5,18,1822
11,2000,5,46,1795
12,2000,5,114,1826
13,2000,5,46,1829
14,2000,5,62,1829
15,2000,5,30,1816
16,2000,5,74,1816
17,2000,5,84,1805
18,2000,5,56,1817
19,2000,5,34,1817
20,2000,5,52,1815
21,2000,5,90,1806
22,2000,5,36,1817
23,2000,5,106,1824
24,2000,5,22,1793
25,2000,5,102,1811
26,2000,5,140,1815
27,2000,5,64,1834
28,2000,5,44,1813
29,2000,5,42,1815
30,2000,5,36,1819
31,2000,5,54,1830
32,2000,5,82,1824
33,2000,5,0,1821
34,2000,5,72,1806
35,2000,5,82,1816
36,2000,5,10,1809
37,2000,5,130,1834
38,2000,5,124,1817
39,2000,5,96,1830
40,2000,5,56,1821
41,2000,5,40,1824
42,2000,5,84,1815
43,2000,5,66,1813
44,2000,5,90,1808
45,2000,5,138,1823
46,2000,5,76,1807
47,2000,5,42,1821
48,2000,5,44,1813
49,2000,5,78,1832
50,2000,5,84,1817
51,2000,5,44,1809
52,2000,5,82,1804
53,2000,5,52,1828
54,2000,5,16,1819
55,2000,5,26,1805
56,2000,5,100,1821
57,2000,5,98,1819
58,2000,5,128,1819
59,2000,5,108,1814
60,2000,5,150,1820
61,2000,5,176,1818
62,2000,5,76,1829
63,2000,5,68,1826
64,2000,5,28,1820
65,2000,5,72,1838
66,2000,5,152,1831
67,2000,5,158,1824
68,2000,5,186,1822
69,2000,5,46,1806
70,2000,5,56,1810
71,2000,5,72,1825
72,2000,5,74,1812
73,2000,5,58,1809
74,2000,5,44,1801
75,2000,5,44,1810
76,2000,5,20,1824
77,2000,5,40,1820
78,2000,5,4,1813
79,2000,5,54,1813
80,2000,5,14,1820
81,2000,5,108,1820
82,2000,5,108,1823
83,2000,5,14,1820
84,2000,5,72,1810
85,2000,5,142,1820
86,2000,5,164,1817
87,2000,5,48,1812
88,2000,5,48,1813
89,2000,5,88,1811
90,2000,5,58,1813
91,2000,5,86,1817
92,2000,5,40,1816
93,2000,5,22,1813
94,2000,5,24,1816
95,2000,5,80,1826
96,2000,5,88,1824
97,2000,5,106,1818
98,2000,5,120,1824
99,2000,5,48,1819
