,n,k,cycle_lengths,as_percent_of_matches
0,3000,7,459,0.16276595744680852
1,3000,7,46,0.016312056737588652
2,3000,7,336,0.11889596602972399
3,3000,7,23,0.00813871196036801
4,3000,7,32,0.01132342533616419
5,3000,7,58,0.020523708421797595
6,3000,7,7,0.0024769992922859165
7,3000,7,14,0.004953998584571833
8,3000,7,41,0.014508138711960368
9,3000,7,68,0.024062278839348902
10,3000,7,46,0.01627742392073602
11,3000,7,264,0.09341825902335456
12,3000,7,76,0.02689313517338995
13,3000,7,18,0.006369426751592357
14,3000,7,4,0.0014154281670205238
15,3000,7,105,0.037076271186440676
16,3000,7,310,0.1094632768361582
17,3000,7,57,0.020127118644067795
18,3000,7,45,0.015889830508474576
19,3000,7,2,0.0007062146892655367
20,3000,7,6,0.00211864406779661
21,3000,7,2,0.0007062146892655367
22,3000,7,17,0.005992245329573493
23,3000,7,351,0.1237222418047233
24,3000,7,69,0.024321466337680647
25,3000,7,27,0.009517095523440254
26,3000,7,264,0.09345132743362831
27,3000,7,187,0.06619469026548673
28,3000,7,155,0.05486725663716814
29,3000,7,6,0.0021238938053097347
30,3000,7,2,0.0007079646017699115
31,3000,7,2,0.0007079646017699115
32,3000,7,61,0.021685033771773908
33,3000,7,53,0.018841094916459297
34,3000,7,6,0.002132954141485958
35,3000,7,138,0.04905794525417703
36,3000,7,49,0.01741912548880199
37,3000,7,5,0.0017774617845716318
38,3000,7,20,0.007109847138286527
39,3000,7,33,0.01173124777817277
40,3000,7,3,0.001066477070742979
41,3000,7,57,0.0202630643441166
42,3000,7,4,0.0014219694276573053
43,3000,7,4,0.0014219694276573053
44,3000,7,2,0.0007109847138286527
45,3000,7,430,0.1521585279547063
46,3000,7,24,0.008492569002123142
47,3000,7,2,0.0007077140835102619
48,3000,7,4,0.0014154281670205238
49,3000,7,328,0.1166429587482219
50,3000,7,35,0.012446657183499289
51,3000,7,28,0.00995732574679943
52,3000,7,13,0.004623044096728307
53,3000,7,8,0.002844950213371266
54,3000,7,8,0.002844950213371266
55,3000,7,7,0.0024893314366998577
56,3000,7,4,0.001422475106685633
57,3000,7,4,0.001422475106685633
58,3000,7,178,0.06276445698166432
59,3000,7,94,0.03314527503526093
60,3000,7,53,0.01868829337094499
61,3000,7,56,0.019746121297602257
62,3000,7,36,0.012693935119887164
63,3000,7,3,0.0010578279266572638
64,3000,7,3,0.0010578279266572638
65,3000,7,302,0.10641296687808316
66,3000,7,47,0.01656095842142354
67,3000,7,8,0.0028188865398167725
68,3000,7,5,0.0017618040873854828
69,3000,7,92,0.03241719520789288
70,3000,7,23,0.00810429880197322
71,3000,7,8,0.0028188865398167725
72,3000,7,479,0.17022032693674485
73,3000,7,10,0.0035536602700781805
74,3000,7,14,0.004975124378109453
75,3000,7,10,0.003552397868561279
76,3000,7,214,0.07602131438721137
77,3000,7,54,0.019182948490230906
78,3000,7,28,0.00994671403197158
79,3000,7,3,0.0010657193605683837
80,3000,7,2,0.0007104795737122557
81,3000,7,268,0.095069173465768
82,3000,7,119,0.04221355090457609
83,3000,7,5,0.0017736786094359701
84,3000,7,5,0.0017736786094359701
85,3000,7,459,0.1632870864461046
86,3000,7,6,0.0021344717182497333
87,3000,7,7,0.0024902170046246885
88,3000,7,20,0.007114905727499111
89,3000,7,10,0.0035574528637495554
90,3000,7,346,0.12239122744959322
91,3000,7,73,0.025822426600636716
92,3000,7,20,0.007074637424831978
93,3000,7,2,0.0007074637424831977
94,3000,7,298,0.10578629747958822
95,3000,7,107,0.037983670571529994
96,3000,7,18,0.006389776357827476
97,3000,7,7,0.0024849130280440185
98,3000,7,7,0.0024849130280440185
99,3000,7,122,0.04315528829147506
100,3000,7,69,0.024407499115670323
101,3000,7,92,0.0325433321542271
102,3000,7,141,0.04987619384506544
103,3000,7,9,0.0031835868411743897
104,3000,7,43,0.015210470463388751
105,3000,7,4,0.0014149274849663955
106,3000,7,409,0.14401408450704226
107,3000,7,102,0.03591549295774648
108,3000,7,18,0.006338028169014085
109,3000,7,12,0.004225352112676056
110,3000,7,5,0.0017605633802816902
111,3000,7,2,0.0007042253521126761
112,3000,7,5,0.0017605633802816902
113,3000,7,3,0.001056338028169014
114,3000,7,412,0.14609929078014183
115,3000,7,40,0.014184397163120567
116,3000,7,13,0.004609929078014184
117,3000,7,26,0.009219858156028368
118,3000,7,2,0.0007092198581560284
119,3000,7,55,0.019579921680313278
120,3000,7,146,0.05197579209683161
121,3000,7,255,0.09077963688145248
122,3000,7,12,0.004271982912068352
123,3000,7,254,0.09026297085998579
124,3000,7,185,0.06574271499644634
125,3000,7,50,0.017768301350390904
126,3000,7,9,0.0031982942430703624
127,3000,7,61,0.0216773276474769
128,3000,7,3,0.0010660980810234541
129,3000,7,4,0.0014214641080312722
130,3000,7,3,0.0010660980810234541
131,3000,7,391,0.13806497175141244
132,3000,7,15,0.005296610169491525
133,3000,7,3,0.001059322033898305
134,3000,7,58,0.020480225988700564
135,3000,7,4,0.0014124293785310734
136,3000,7,208,0.073706591070163
137,3000,7,101,0.03579021970233877
138,3000,7,124,0.04394046775336641
139,3000,7,23,0.00815024805102764
140,3000,7,21,0.0074415308291991495
141,3000,7,4,0.001417434443656981
142,3000,7,5,0.001771793054571226
143,3000,7,299,0.10659536541889483
144,3000,7,35,0.012477718360071301
145,3000,7,106,0.03778966131907308
146,3000,7,3,0.0010695187165775401
147,3000,7,16,0.00570409982174688
148,3000,7,2,0.00071301247771836
149,3000,7,210,0.0743362831858407
150,3000,7,279,0.09876106194690265
151,3000,7,50,0.017699115044247787
152,3000,7,5,0.0017699115044247787
153,3000,7,13,0.004601769911504424
154,3000,7,9,0.003185840707964602
155,3000,7,379,0.13359182234755024
156,3000,7,51,0.017976735988720478
157,3000,7,36,0.01268946069792034
158,3000,7,75,0.026595744680851064
159,3000,7,83,0.029432624113475178
160,3000,7,162,0.0574468085106383
161,3000,7,117,0.04148936170212766
162,3000,7,25,0.008865248226950355
163,3000,7,2,0.0007092198581560284
164,3000,7,5,0.0017730496453900709
165,3000,7,294,0.10410764872521247
166,3000,7,87,0.030807365439093484
167,3000,7,184,0.06515580736543909
168,3000,7,6,0.002124645892351275
169,3000,7,41,0.014580369843527738
170,3000,7,347,0.12339971550497866
171,3000,7,3,0.0010668563300142249
172,3000,7,80,0.02844950213371266
173,3000,7,13,0.004623044096728307
174,3000,7,5,0.0017780938833570413
175,3000,7,2,0.0007112375533428165
176,3000,7,3,0.0010668563300142249
177,3000,7,2,0.0007112375533428165
178,3000,7,33,0.011656658424584953
179,3000,7,420,0.14835747085835393
180,3000,7,9,0.0031790886612504416
181,3000,7,7,0.002472624514305899
182,3000,7,46,0.01625441696113074
183,3000,7,311,0.10989399293286219
184,3000,7,93,0.03286219081272085
185,3000,7,55,0.019434628975265017
186,3000,7,8,0.0028268551236749115
187,3000,7,10,0.0035574528637495554
188,3000,7,19,0.006759160441124155
189,3000,7,317,0.1127712557808609
190,3000,7,4,0.001422981145499822
191,3000,7,12,0.004268943436499467
192,3000,7,28,0.009960868018498754
193,3000,7,18,0.0064034151547491995
194,3000,7,26,0.009249377445748844
195,3000,7,2,0.000711490572749911
196,3000,7,2,0.000711490572749911
197,3000,7,153,0.05391120507399577
198,3000,7,159,0.056025369978858354
199,3000,7,133,0.04686398872445384
200,3000,7,2,0.0007047216349541931
201,3000,7,16,0.005637773079633545
202,3000,7,4,0.0014094432699083862
203,3000,7,178,0.06321022727272728
204,3000,7,221,0.07848011363636363
205,3000,7,31,0.011067475901463763
206,3000,7,340,0.12138521956444127
207,3000,7,25,0.008925383791503035
208,3000,7,59,0.021063905747947163
209,3000,7,6,0.0021420921099607284
210,3000,7,11,0.003927168868261335
211,3000,7,4,0.0014280614066404856
212,3000,7,4,0.0014280614066404856
213,3000,7,262,0.09225352112676057
214,3000,7,37,0.013028169014084507
215,3000,7,15,0.00528169014084507
216,3000,7,54,0.019014084507042252
217,3000,7,4,0.0014084507042253522
218,3000,7,6,0.002112676056338028
219,3000,7,7,0.0024647887323943664
220,3000,7,100,0.0353356890459364
221,3000,7,366,0.12932862190812722
222,3000,7,13,0.004593639575971731
223,3000,7,8,0.0028268551236749115
224,3000,7,170,0.06034788782392616
225,3000,7,166,0.058927937522186724
226,3000,7,45,0.01597444089456869
227,3000,7,2,0.0007099751508697196
228,3000,7,9,0.003194888178913738
229,3000,7,11,0.0039048633297834577
230,3000,7,251,0.08926031294452347
231,3000,7,190,0.06756756756756757
232,3000,7,5,0.0017780938833570413
233,3000,7,283,0.10039020929407591
234,3000,7,79,0.028024122029088328
235,3000,7,27,0.00957786449095424
236,3000,7,102,0.03618304363249379
237,3000,7,4,0.001418942887548776
238,3000,7,78,0.027571580063626724
239,3000,7,137,0.048427006009190525
240,3000,7,163,0.0576175326970661
241,3000,7,88,0.031106398020501944
242,3000,7,3,0.0010604453870625664
243,3000,7,393,0.13901662539794835
244,3000,7,14,0.004952246197382384
245,3000,7,28,0.009904492394764769
246,3000,7,9,0.0031835868411743897
247,3000,7,330,0.11689691817215728
248,3000,7,236,0.08359900814736096
249,3000,7,5,0.001771165426850868
250,3000,7,373,0.1317090395480226
251,3000,7,2,0.0007062146892655367
252,3000,7,4,0.0014124293785310734
253,3000,7,9,0.0031779661016949155
254,3000,7,4,0.0014124293785310734
255,3000,7,12,0.00423728813559322
256,3000,7,5,0.0017655367231638418
257,3000,7,8,0.002824858757062147
258,3000,7,109,0.038584070796460174
259,3000,7,89,0.03150442477876106
260,3000,7,260,0.0920353982300885
261,3000,7,3,0.0010619469026548673
262,3000,7,75,0.02654867256637168
263,3000,7,27,0.009557522123893806
264,3000,7,5,0.0017699115044247787
265,3000,7,2,0.0007079646017699115
266,3000,7,388,0.1376374600922313
267,3000,7,9,0.0031926214969847464
268,3000,7,25,0.00886839304717985
269,3000,7,3,0.001064207165661582
270,3000,7,2,0.000709471443774388
271,3000,7,2,0.0007054673721340388
272,3000,7,107,0.037742504409171075
273,3000,7,260,0.09171075837742504
274,3000,7,80,0.02821869488536155
275,3000,7,3,0.0010582010582010583
276,3000,7,2,0.0007054673721340388
277,3000,7,2,0.0007054673721340388
278,3000,7,324,0.11501597444089456
279,3000,7,40,0.014199503017394392
280,3000,7,21,0.007454739084132056
281,3000,7,36,0.012779552715654952
282,3000,7,50,0.01774937877174299
283,3000,7,4,0.0014199503017394391
284,3000,7,3,0.0010649627263045794
285,3000,7,243,0.08601769911504424
286,3000,7,72,0.025486725663716816
287,3000,7,100,0.035398230088495575
288,3000,7,11,0.0038938053097345134
289,3000,7,21,0.007433628318584071
290,3000,7,3,0.0010619469026548673
291,3000,7,147,0.052127659574468084
292,3000,7,225,0.0797872340425532
293,3000,7,69,0.02446808510638298
294,3000,7,25,0.008865248226950355
295,3000,7,22,0.007801418439716312
296,3000,7,2,0.0007092198581560284
297,3000,7,447,0.15924474527965798
298,3000,7,13,0.004631278945493409
299,3000,7,3,0.0010687566797292483
300,3000,7,7,0.0024937655860349127
301,3000,7,520,0.184070796460177
302,3000,7,8,0.002831858407079646
303,3000,7,7,0.00247787610619469
304,3000,7,4,0.001415929203539823
305,3000,7,2,0.0007079646017699115
306,3000,7,167,0.059198865650478556
307,3000,7,90,0.03190358029067707
308,3000,7,41,0.014533853243530664
309,3000,7,29,0.010280042538107055
310,3000,7,16,0.005671747607231478
311,3000,7,12,0.004253810705423609
312,3000,7,20,0.007089684509039348
313,3000,7,3,0.0010634526763559022
314,3000,7,15,0.005317263381779511
315,3000,7,4,0.0014179369018078695
316,3000,7,5,0.0017599436818021823
317,3000,7,68,0.02393523407250968
318,3000,7,55,0.019359380499824004
319,3000,7,374,0.13164378739880322
320,3000,7,3,0.0010559662090813093
321,3000,7,3,0.0010559662090813093
322,3000,7,3,0.0010559662090813093
323,3000,7,302,0.10724431818181818
324,3000,7,23,0.008167613636363636
325,3000,7,26,0.009232954545454546
326,3000,7,21,0.007457386363636364
327,3000,7,45,0.015980113636363636
328,3000,7,3,0.001065340909090909
329,3000,7,38,0.013494318181818182
330,3000,7,4,0.0014204545454545455
331,3000,7,2,0.0007102272727272727
332,3000,7,53,0.018874643874643875
333,3000,7,128,0.045584045584045586
334,3000,7,137,0.04878917378917379
335,3000,7,133,0.047364672364672365
336,3000,7,4,0.0014245014245014246
337,3000,7,4,0.0014245014245014246
338,3000,7,8,0.002849002849002849
339,3000,7,6,0.002136752136752137
340,3000,7,208,0.07391613361762615
341,3000,7,138,0.04904051172707889
342,3000,7,55,0.01954513148542999
343,3000,7,16,0.005685856432125089
344,3000,7,2,0.0007107320540156361
345,3000,7,2,0.0007107320540156361
346,3000,7,3,0.0010660980810234541
347,3000,7,12,0.0042780748663101605
348,3000,7,294,0.10481283422459893
349,3000,7,88,0.03137254901960784
350,3000,7,47,0.01675579322638146
351,3000,7,11,0.00392156862745098
352,3000,7,164,0.05815602836879433
353,3000,7,177,0.0627659574468085
354,3000,7,84,0.029787234042553193
355,3000,7,45,0.015957446808510637
356,3000,7,18,0.006382978723404255
357,3000,7,5,0.0017730496453900709
358,3000,7,356,0.12619638426090038
359,3000,7,217,0.07692307692307693
360,3000,7,3,0.0010634526763559022
361,3000,7,2,0.0007089684509039348
362,3000,7,102,0.036093418259023353
363,3000,7,126,0.044585987261146494
364,3000,7,174,0.06157112526539278
365,3000,7,14,0.004953998584571833
366,3000,7,27,0.009554140127388535
367,3000,7,2,0.0007077140835102619
368,3000,7,5,0.0017692852087756545
369,3000,7,2,0.0007077140835102619
370,3000,7,360,0.12761432116270827
371,3000,7,87,0.030840127614321162
372,3000,7,5,0.001772421127259837
373,3000,7,13,0.004608294930875576
374,3000,7,16,0.005671747607231478
375,3000,7,2,0.0007089684509039348
376,3000,7,224,0.07920792079207921
377,3000,7,231,0.08168316831683169
378,3000,7,15,0.005304101838755304
379,3000,7,3,0.0010608203677510608
380,3000,7,15,0.005304101838755304
381,3000,7,5,0.001768033946251768
382,3000,7,359,0.1270796460176991
383,3000,7,100,0.035398230088495575
384,3000,7,10,0.0035398230088495575
385,3000,7,3,0.0010619469026548673
386,3000,7,277,0.09854144432586268
387,3000,7,66,0.023479188900747065
388,3000,7,25,0.008893632159373888
389,3000,7,2,0.000711490572749911
390,3000,7,247,0.08765081618168914
391,3000,7,2,0.0007097232079489
392,3000,7,8,0.0028388928317956
393,3000,7,83,0.029453513129879347
394,3000,7,408,0.14452709883103082
395,3000,7,14,0.00495926319518243
396,3000,7,20,0.007084661707403472
397,3000,7,4,0.0014169323414806943
398,3000,7,10,0.003542330853701736
399,3000,7,2,0.0007084661707403471
400,3000,7,2,0.0007084661707403471
401,3000,7,275,0.09734513274336283
402,3000,7,35,0.012389380530973451
403,3000,7,88,0.031150442477876107
404,3000,7,29,0.010265486725663717
405,3000,7,28,0.00991150442477876
406,3000,7,60,0.021238938053097345
407,3000,7,13,0.004601769911504424
408,3000,7,11,0.0038938053097345134
409,3000,7,174,0.06209850107066381
410,3000,7,2,0.0007137758743754461
411,3000,7,35,0.012491077801570306
412,3000,7,188,0.06709493219129194
413,3000,7,16,0.005710206995003569
414,3000,7,10,0.0035688793718772305
415,3000,7,4,0.0014275517487508922
416,3000,7,16,0.005661712668082095
417,3000,7,359,0.127034677990092
418,3000,7,111,0.03927813163481953
419,3000,7,20,0.007077140835102618
420,3000,7,22,0.00778485491861288
421,3000,7,382,0.13464927740571025
422,3000,7,7,0.0024673951357067326
423,3000,7,146,0.05146281283045471
424,3000,7,2,0.0007049700387733521
425,3000,7,7,0.0024673951357067326
426,3000,7,8,0.0028198801550934085
427,3000,7,3,0.0010574550581600281
428,3000,7,105,0.037154989384288746
429,3000,7,111,0.03927813163481953
430,3000,7,132,0.04670912951167728
431,3000,7,85,0.030077848549186128
432,3000,7,33,0.01167728237791932
433,3000,7,12,0.004246284501061571
434,3000,7,2,0.0007077140835102619
435,3000,7,6,0.0021231422505307855
436,3000,7,378,0.1337579617834395
437,3000,7,13,0.0046001415428167025
438,3000,7,3,0.0010615711252653928
439,3000,7,25,0.008846426043878274
440,3000,7,9,0.0031847133757961785
441,3000,7,9,0.0031847133757961785
442,3000,7,18,0.006369426751592357
443,3000,7,8,0.0028308563340410475
444,3000,7,3,0.0010615711252653928
445,3000,7,413,0.14660986865459708
446,3000,7,59,0.020944266950656727
447,3000,7,22,0.007809726659566915
448,3000,7,424,0.15056818181818182
449,3000,7,7,0.0024857954545454545
450,3000,7,13,0.004616477272727273
451,3000,7,3,0.001065340909090909
452,3000,7,398,0.14088495575221238
453,3000,7,18,0.006371681415929204
454,3000,7,12,0.004247787610619469
455,3000,7,5,0.0017699115044247787
456,3000,7,4,0.001415929203539823
457,3000,7,18,0.006371681415929204
458,3000,7,110,0.038869257950530034
459,3000,7,108,0.03816254416961131
460,3000,7,28,0.009893992932862191
461,3000,7,148,0.052296819787985865
462,3000,7,110,0.038869257950530034
463,3000,7,2,0.0007067137809187279
464,3000,7,346,0.12252124645892351
465,3000,7,126,0.04461756373937677
466,3000,7,14,0.004957507082152974
467,3000,7,4,0.00141643059490085
468,3000,7,3,0.0010623229461756375
469,3000,7,76,0.0269694819020582
470,3000,7,183,0.06493967352732434
471,3000,7,72,0.0255500354861604
472,3000,7,8,0.0028388928317956
473,3000,7,55,0.019517388218594747
474,3000,7,69,0.024485450674237047
475,3000,7,5,0.0017743080198722497
476,3000,7,4,0.0014194464158978
477,3000,7,450,0.1594048884165781
478,3000,7,11,0.0038965639390719092
479,3000,7,274,0.09771754636233952
480,3000,7,62,0.02211126961483595
481,3000,7,83,0.029600570613409417
482,3000,7,33,0.011768901569186876
483,3000,7,38,0.01355206847360913
484,3000,7,3,0.0010699001426533524
485,3000,7,239,0.08457183297947629
486,3000,7,143,0.05060155697098372
487,3000,7,29,0.010261854210898797
488,3000,7,71,0.025123849964614295
489,3000,7,316,0.11177927131234525
490,3000,7,5,0.0017686593562079944
491,3000,7,21,0.007428369296073576
492,3000,7,6,0.0021223912274495934
493,3000,7,312,0.11067754522880455
494,3000,7,35,0.012415750266051791
495,3000,7,4,0.001418942887548776
496,3000,7,39,0.013824884792626729
497,3000,7,268,0.09500177242112726
498,3000,7,4,0.0014179369018078695
499,3000,7,36,0.012761432116270826
500,3000,7,246,0.08680310515172901
501,3000,7,4,0.0014114326040931546
502,3000,7,75,0.02646436132674665
503,3000,7,49,0.017290049400141144
504,3000,7,6,0.002117148906139732
505,3000,7,17,0.005998588567395907
506,3000,7,21,0.007410021171489062
507,3000,7,327,0.11538461538461539
508,3000,7,98,0.03458009880028229
509,3000,7,2,0.0007057163020465773
510,3000,7,102,0.0361958836053939
511,3000,7,291,0.10326472675656494
512,3000,7,38,0.0134847409510291
513,3000,7,29,0.01029098651525905
514,3000,7,6,0.0021291696238466998
515,3000,7,6,0.0021291696238466998
516,3000,7,94,0.0333569907735983
517,3000,7,223,0.07913413768630234
518,3000,7,30,0.0106458481192335
519,3000,7,42,0.014904187366926898
520,3000,7,259,0.09177888022678951
521,3000,7,44,0.01559177888022679
522,3000,7,38,0.013465627214741318
523,3000,7,19,0.006732813607370659
524,3000,7,59,0.020907158043940468
525,3000,7,5,0.001771793054571226
526,3000,7,2,0.0007087172218284905
527,3000,7,313,0.11032781106802961
528,3000,7,10,0.0035248501938667607
529,3000,7,11,0.0038773352132534366
530,3000,7,6,0.0021149101163200562
531,3000,7,8,0.0028198801550934085
532,3000,7,2,0.0007049700387733521
533,3000,7,6,0.0021149101163200562
534,3000,7,543,0.1921443736730361
535,3000,7,7,0.0024769992922859165
536,3000,7,84,0.02960874162848079
537,3000,7,50,0.017624250969333802
538,3000,7,195,0.06873457878040183
539,3000,7,63,0.022206556221360592
540,3000,7,8,0.0028198801550934085
541,3000,7,5,0.0017624250969333803
542,3000,7,369,0.1303426351112681
543,3000,7,15,0.005298481102084069
544,3000,7,19,0.006711409395973154
545,3000,7,8,0.00282585658777817
546,3000,7,4,0.001412928293889085
547,3000,7,2,0.0007064641469445425
548,3000,7,249,0.08798586572438162
549,3000,7,42,0.014840989399293287
550,3000,7,59,0.020848056537102474
551,3000,7,49,0.017314487632508833
552,3000,7,17,0.006007067137809187
553,3000,7,43,0.01519434628975265
554,3000,7,5,0.0017667844522968198
555,3000,7,4,0.0014134275618374558
556,3000,7,3,0.0010600706713780918
557,3000,7,16,0.005653710247349823
558,3000,7,3,0.0010600706713780918
559,3000,7,405,0.1436679673643136
560,3000,7,8,0.002837885775097552
561,3000,7,323,0.11437677053824363
562,3000,7,95,0.03364022662889518
563,3000,7,30,0.010623229461756374
564,3000,7,4,0.00141643059490085
565,3000,7,17,0.0060198300283286115
566,3000,7,484,0.17120622568093385
567,3000,7,3,0.0010611956137247967
568,3000,7,400,0.141643059490085
569,3000,7,16,0.0056657223796034
570,3000,7,22,0.007790368271954674
