,n,k,n_changes,n_matches
0,6000,7,819,5645
1,6000,7,906,5651
2,6000,7,927,5632
3,6000,7,1005,5645
4,6000,7,927,5652
5,6000,7,880,5674
6,6000,7,948,5632
7,6000,7,1119,5660
8,6000,7,859,5635
9,6000,7,808,5643
10,6000,7,851,5639
11,6000,7,1010,5661
12,6000,7,1010,5647
13,6000,7,1118,5635
14,6000,7,971,5644
15,6000,7,916,5637
16,6000,7,743,5666
17,6000,7,1087,5655
18,6000,7,949,5652
19,6000,7,987,5631
20,6000,7,890,5643
21,6000,7,1084,5642
22,6000,7,965,5636
23,6000,7,990,5647
24,6000,7,793,5633
25,6000,7,893,5649
26,6000,7,890,5637
27,6000,7,957,5646
28,6000,7,928,5648
29,6000,7,969,5656
30,6000,7,945,5638
31,6000,7,1023,5644
32,6000,7,911,5642
33,6000,7,851,5635
34,6000,7,897,5665
35,6000,7,911,5637
36,6000,7,1083,5653
37,6000,7,941,5652
38,6000,7,926,5643
39,6000,7,925,5678
40,6000,7,692,5643
41,6000,7,831,5633
42,6000,7,1078,5648
43,6000,7,940,5644
44,6000,7,840,5664
45,6000,7,944,5653
46,6000,7,1131,5647
47,6000,7,899,5624
48,6000,7,1004,5634
49,6000,7,978,5648
50,6000,7,1024,5635
51,6000,7,790,5673
52,6000,7,876,5642
53,6000,7,916,5640
54,6000,7,979,5656
55,6000,7,1037,5667
56,6000,7,973,5632
57,6000,7,830,5656
58,6000,7,895,5661
59,6000,7,853,5645
60,6000,7,860,5650
61,6000,7,1053,5646
62,6000,7,931,5624
63,6000,7,1096,5628
64,6000,7,955,5638
65,6000,7,905,5643
66,6000,7,880,5648
67,6000,7,1008,5670
68,6000,7,1014,5658
69,6000,7,978,5665
70,6000,7,1006,5631
71,6000,7,841,5654
72,6000,7,902,5651
73,6000,7,950,5641
74,6000,7,902,5642
75,6000,7,960,5622
76,6000,7,809,5636
77,6000,7,994,5643
78,6000,7,870,5636
79,6000,7,906,5629
80,6000,7,1014,5640
81,6000,7,751,5625
82,6000,7,872,5624
83,6000,7,779,5635
84,6000,7,1115,5624
85,6000,7,902,5625
86,6000,7,964,5630
87,6000,7,946,5640
88,6000,7,917,5653
89,6000,7,841,5619
90,6000,7,885,5638
91,6000,7,734,5650
92,6000,7,707,5636
93,6000,7,901,5643
94,6000,7,930,5637
95,6000,7,955,5629
96,6000,7,1055,5638
97,6000,7,923,5648
98,6000,7,984,5655
99,6000,7,1046,5665
