,n,k,n_cycles,n_agents_in_cycles,n_matches,percent_in_cycles
0,3000,4,0,0,2642,0.0
1,3000,4,1,20,2648,0.0075528700906344415
2,3000,4,3,7,2644,0.00264750378214826
3,3000,4,0,0,2634,0.0
4,3000,4,0,0,2655,0.0
5,3000,4,2,4,2645,0.0015122873345935729
6,3000,4,0,0,2632,0.0
7,3000,4,1,2,2640,0.0007575757575757576
8,3000,4,2,7,2650,0.0026415094339622643
9,3000,4,1,12,2668,0.004497751124437781
10,3000,4,1,3,2635,0.0011385199240986717
11,3000,4,2,4,2663,0.0015020653398422831
12,3000,4,4,19,2630,0.007224334600760456
13,3000,4,1,2,2653,0.0007538635506973238
14,3000,4,0,0,2638,0.0
15,3000,4,0,0,2653,0.0
16,3000,4,0,0,2647,0.0
17,3000,4,0,0,2646,0.0
18,3000,4,1,4,2652,0.0015082956259426848
19,3000,4,0,0,2659,0.0
20,3000,4,2,10,2619,0.0038182512409316535
21,3000,4,3,22,2654,0.008289374529012811
22,3000,4,2,12,2649,0.004530011325028313
23,3000,4,1,3,2679,0.0011198208286674132
24,3000,4,1,3,2632,0.0011398176291793312
25,3000,4,0,0,2646,0.0
26,3000,4,0,0,2657,0.0
27,3000,4,2,8,2652,0.0030165912518853697
28,3000,4,0,0,2638,0.0
29,3000,4,0,0,2639,0.0
30,3000,4,0,0,2635,0.0
31,3000,4,1,2,2643,0.0007567158531971245
32,3000,4,1,3,2633,0.001139384732244588
33,3000,4,0,0,2663,0.0
34,3000,4,1,5,2665,0.001876172607879925
35,3000,4,1,2,2656,0.0007530120481927711
36,3000,4,1,12,2652,0.004524886877828055
37,3000,4,1,8,2654,0.003014318010550113
38,3000,4,1,2,2657,0.0007527286413248024
39,3000,4,0,0,2641,0.0
40,3000,4,1,3,2650,0.0011320754716981133
41,3000,4,3,13,2661,0.004885381435550545
42,3000,4,1,4,2649,0.0015100037750094375
43,3000,4,1,3,2644,0.0011346444780635401
44,3000,4,1,2,2627,0.0007613247049866769
45,3000,4,0,0,2654,0.0
46,3000,4,1,3,2665,0.001125703564727955
47,3000,4,2,6,2666,0.002250562640660165
48,3000,4,0,0,2659,0.0
49,3000,4,0,0,2650,0.0
50,3000,4,2,10,2657,0.003763643206624012
51,3000,4,1,4,2650,0.0015094339622641509
52,3000,4,1,3,2647,0.0011333585190782018
53,3000,4,2,14,2645,0.005293005671077505
54,3000,4,3,11,2645,0.004158790170132325
55,3000,4,3,10,2640,0.003787878787878788
56,3000,4,1,2,2636,0.0007587253414264037
57,3000,4,0,0,2638,0.0
58,3000,4,2,4,2657,0.0015054572826496049
59,3000,4,2,12,2662,0.004507888805409466
60,3000,4,2,4,2626,0.0015232292460015233
61,3000,4,2,6,2659,0.0022564874012786762
62,3000,4,3,10,2645,0.003780718336483932
63,3000,4,1,2,2634,0.0007593014426727411
64,3000,4,1,9,2658,0.003386004514672686
65,3000,4,0,0,2647,0.0
66,3000,4,2,11,2660,0.004135338345864661
67,3000,4,1,2,2641,0.0007572889057175312
68,3000,4,5,14,2641,0.005301022340022719
69,3000,4,4,11,2628,0.004185692541856925
70,3000,4,0,0,2649,0.0
71,3000,4,0,0,2650,0.0
72,3000,4,3,7,2658,0.0026335590669676447
73,3000,4,0,0,2655,0.0
74,3000,4,0,0,2643,0.0
75,3000,4,0,0,2642,0.0
76,3000,4,1,8,2647,0.003022289384208538
77,3000,4,1,3,2629,0.0011411182959300114
78,3000,4,0,0,2644,0.0
79,3000,4,1,6,2659,0.0022564874012786762
80,3000,4,3,9,2653,0.003392385978137957
81,3000,4,2,7,2640,0.0026515151515151517
82,3000,4,1,2,2635,0.0007590132827324478
83,3000,4,4,33,2647,0.012466943709860219
84,3000,4,2,6,2647,0.0022667170381564035
85,3000,4,0,0,2643,0.0
86,3000,4,1,3,2652,0.0011312217194570137
87,3000,4,1,3,2636,0.0011380880121396055
88,3000,4,3,12,2647,0.004533434076312807
89,3000,4,2,13,2654,0.0048982667671439335
90,3000,4,3,12,2638,0.004548900682335102
91,3000,4,1,2,2646,0.0007558578987150416
92,3000,4,0,0,2651,0.0
93,3000,4,0,0,2611,0.0
94,3000,4,2,4,2646,0.0015117157974300832
95,3000,4,3,9,2652,0.003393665158371041
96,3000,4,2,11,2619,0.004200076365024819
97,3000,4,1,15,2632,0.0056990881458966565
98,3000,4,1,5,2636,0.0018968133535660092
99,3000,4,0,0,2657,0.0
100,3000,4,1,2,2652,0.0007541478129713424
101,3000,4,1,5,2672,0.0018712574850299401
102,3000,4,2,15,2638,0.005686125852918878
103,3000,4,1,2,2635,0.0007590132827324478
104,3000,4,0,0,2643,0.0
105,3000,4,2,7,2654,0.0026375282592313487
106,3000,4,1,4,2654,0.0015071590052750565
107,3000,4,1,8,2638,0.003032600454890068
108,3000,4,0,0,2641,0.0
109,3000,4,1,4,2659,0.001504324934185784
110,3000,4,2,15,2656,0.005647590361445783
111,3000,4,2,5,2641,0.001893222264293828
112,3000,4,2,7,2639,0.002652519893899204
113,3000,4,1,3,2635,0.0011385199240986717
114,3000,4,2,7,2653,0.002638522427440633
115,3000,4,0,0,2636,0.0
116,3000,4,1,19,2630,0.007224334600760456
117,3000,4,2,4,2636,0.0015174506828528073
118,3000,4,4,24,2632,0.00911854103343465
119,3000,4,1,2,2636,0.0007587253414264037
120,3000,4,0,0,2653,0.0
121,3000,4,2,4,2644,0.0015128593040847202
122,3000,4,0,0,2635,0.0
123,3000,4,1,2,2672,0.0007485029940119761
124,3000,4,0,0,2641,0.0
125,3000,4,3,36,2644,0.01361573373676248
126,3000,4,0,0,2641,0.0
127,3000,4,1,3,2634,0.0011389521640091116
128,3000,4,0,0,2654,0.0
129,3000,4,1,3,2659,0.0011282437006393381
130,3000,4,2,5,2633,0.0018989745537409798
131,3000,4,0,0,2652,0.0
132,3000,4,0,0,2634,0.0
133,3000,4,0,0,2652,0.0
134,3000,4,0,0,2652,0.0
135,3000,4,1,3,2646,0.0011337868480725624
136,3000,4,1,7,2655,0.0026365348399246705
137,3000,4,0,0,2651,0.0
138,3000,4,1,4,2640,0.0015151515151515152
139,3000,4,0,0,2638,0.0
140,3000,4,2,7,2656,0.0026355421686746986
141,3000,4,2,6,2662,0.002253944402704733
142,3000,4,2,8,2639,0.0030314513073133762
143,3000,4,1,3,2632,0.0011398176291793312
144,3000,4,2,11,2644,0.00416036308623298
