,n,k,n_cycles,n_agents_in_cycles,n_matches,percent_in_cycles
0,225,8,1,62,216,0.28703703703703703
1,225,8,1,50,215,0.23255813953488372
2,225,8,1,75,214,0.35046728971962615
3,225,8,3,54,216,0.25
4,225,8,1,82,214,0.38317757009345793
5,225,8,1,91,213,0.4272300469483568
6,225,8,1,65,214,0.3037383177570093
7,225,8,1,59,214,0.2757009345794392
8,225,8,1,85,219,0.3881278538812785
9,225,8,1,90,216,0.4166666666666667
10,225,8,1,89,212,0.419811320754717
11,225,8,2,66,215,0.30697674418604654
12,225,8,1,86,214,0.40186915887850466
13,225,8,1,88,212,0.41509433962264153
14,225,8,1,44,218,0.2018348623853211
15,225,8,2,32,209,0.15311004784688995
16,225,8,1,49,215,0.22790697674418606
17,225,8,1,70,214,0.32710280373831774
18,225,8,2,56,213,0.26291079812206575
19,225,8,1,81,217,0.37327188940092165
20,225,8,2,53,212,0.25
21,225,8,1,45,215,0.20930232558139536
22,225,8,1,39,214,0.1822429906542056
23,225,8,2,68,210,0.3238095238095238
24,225,8,3,35,217,0.16129032258064516
25,225,8,1,86,215,0.4
26,225,8,1,87,215,0.4046511627906977
27,225,8,1,56,216,0.25925925925925924
28,225,8,1,73,213,0.3427230046948357
29,225,8,1,61,212,0.28773584905660377
30,225,8,1,53,213,0.24882629107981222
31,225,8,1,66,215,0.30697674418604654
32,225,8,2,37,213,0.17370892018779344
33,225,8,2,95,214,0.4439252336448598
34,225,8,1,103,210,0.49047619047619045
35,225,8,2,62,218,0.28440366972477066
36,225,8,1,53,214,0.24766355140186916
37,225,8,3,67,213,0.3145539906103286
38,225,8,1,36,216,0.16666666666666666
39,225,8,1,71,215,0.3302325581395349
40,225,8,3,49,215,0.22790697674418606
41,225,8,1,75,216,0.3472222222222222
42,225,8,1,97,216,0.44907407407407407
43,225,8,2,83,214,0.3878504672897196
44,225,8,3,37,218,0.16972477064220184
45,225,8,1,70,216,0.32407407407407407
46,225,8,1,95,218,0.43577981651376146
47,225,8,1,97,214,0.4532710280373832
48,225,8,1,60,215,0.27906976744186046
49,225,8,1,52,213,0.24413145539906103
50,225,8,2,61,216,0.2824074074074074
51,225,8,1,80,212,0.37735849056603776
52,225,8,1,77,215,0.3581395348837209
53,225,8,1,84,215,0.39069767441860465
54,225,8,1,73,215,0.3395348837209302
55,225,8,2,92,213,0.431924882629108
56,225,8,2,59,218,0.2706422018348624
57,225,8,1,75,217,0.3456221198156682
58,225,8,1,77,215,0.3581395348837209
59,225,8,1,69,210,0.32857142857142857
60,225,8,1,75,216,0.3472222222222222
61,225,8,3,85,216,0.39351851851851855
62,225,8,2,61,216,0.2824074074074074
63,225,8,1,62,217,0.2857142857142857
64,225,8,2,54,215,0.25116279069767444
65,225,8,1,88,215,0.40930232558139534
66,225,8,1,42,216,0.19444444444444445
67,225,8,1,39,214,0.1822429906542056
68,225,8,3,31,214,0.14485981308411214
69,225,8,2,31,215,0.14418604651162792
70,225,8,1,76,214,0.35514018691588783
71,225,8,1,83,212,0.3915094339622642
72,225,8,1,52,213,0.24413145539906103
73,225,8,1,68,215,0.31627906976744186
74,225,8,1,77,213,0.3615023474178404
75,225,8,4,36,213,0.16901408450704225
76,225,8,2,84,215,0.39069767441860465
77,225,8,1,44,216,0.2037037037037037
78,225,8,2,49,214,0.22897196261682243
79,225,8,2,62,219,0.2831050228310502
80,225,8,2,32,216,0.14814814814814814
81,225,8,1,56,212,0.2641509433962264
82,225,8,1,56,209,0.2679425837320574
83,225,8,1,69,212,0.32547169811320753
