,cycle_length,sim_id
1,10,0
5,14,0
12,8,0
17,9,0
19,9,0
20,13,0
23,12,0
34,12,0
36,14,0
41,9,0
42,8,0
43,17,0
44,11,0
45,8,0
46,13,0
48,14,0
50,9,0
51,9,0
58,17,0
75,10,0
78,8,0
80,12,0
81,14,0
83,14,0
86,2,0
87,13,0
90,13,0
92,11,0
95,12,0
106,15,0
108,15,0
112,11,0
113,8,0
114,14,0
115,8,0
116,9,0
119,21,0
120,13,0
123,10,0
125,10,0
130,12,0
131,12,0
135,9,0
136,9,0
144,18,0
145,18,0
146,10,0
147,12,0
148,2,0
149,2,0
150,10,0
151,16,0
152,16,0
166,14,0
168,14,0
169,10,0
171,10,0
172,17,0
173,10,0
174,10,0
177,10,0
179,11,0
191,17,0
192,10,0
193,10,0
199,23,0
200,9,0
201,9,0
206,14,0
207,12,0
208,14,0
210,21,0
211,14,0
220,12,0
223,9,0
227,14,0
229,10,0
230,10,0
232,14,0
233,14,0
249,12,0
250,12,0
251,8,0
252,13,0
253,11,0
255,10,0
256,15,0
257,9,0
258,12,0
259,9,0
260,13,0
261,22,0
264,23,0
274,12,0
275,9,0
276,11,0
280,14,0
281,22,0
290,12,0
296,17,0
299,13,0
301,11,0
302,12,0
303,14,0
306,15,0
314,10,0
325,17,0
327,17,0
337,10,0
346,9,0
349,9,0
352,13,0
372,12,0
382,12,0
387,22,0
388,22,0
392,14,0
404,12,0
408,2,0
415,10,0
416,21,0
421,21,0
428,14,0
433,18,0
446,10,0
448,14,0
449,20,0
452,14,0
453,18,0
466,14,0
484,11,0
489,17,0
490,21,0
496,11,0
497,12,0
511,8,0
513,18,0
594,10,1
599,13,1
601,20,1
603,13,1
604,14,1
605,14,1
608,10,1
609,10,1
616,11,1
617,8,1
634,13,1
687,7,1
695,12,1
696,12,1
700,18,1
706,7,1
707,18,1
710,7,1
712,7,1
715,8,1
716,13,1
717,8,1
721,4,1
724,7,1
730,20,1
732,12,1
733,13,1
735,7,1
737,15,1
738,20,1
741,10,1
742,2,1
743,2,1
744,3,1
761,7,1
765,18,1
766,13,1
767,18,1
768,18,1
803,4,1
804,15,1
805,15,1
808,11,1
815,15,1
816,18,1
817,15,1
823,14,1
825,14,1
831,13,1
832,7,1
837,18,1
841,13,1
849,13,1
853,7,1
865,18,1
866,14,1
890,19,1
898,15,1
900,15,1
902,13,1
908,20,1
914,15,1
915,4,1
917,13,1
923,7,1
937,18,1
943,15,1
955,7,1
956,11,1
957,7,1
969,12,1
970,8,1
977,14,1
986,19,1
987,18,1
993,20,1
997,15,1
1000,7,1
1001,7,1
1002,12,1
1008,4,1
1022,7,1
1037,12,1
1078,7,1
1082,14,1
1092,14,1
1097,10,1
1110,10,1
1156,8,2
1183,19,2
1185,22,2
1187,11,2
1204,21,2
1205,8,2
1225,8,2
1230,22,2
1245,8,2
1249,8,2
1254,8,2
1256,8,2
1300,11,2
1301,11,2
1311,19,2
1313,8,2
1315,19,2
1321,16,2
1322,16,2
1334,26,2
