,n,k,n_cycles,n_agents_in_cycles,n_matches,percent_in_cycles
0,6000,10,2,2659,5790,0.45924006908462867
1,6000,10,1,2582,5794,0.4456334138764239
2,6000,10,1,2631,5793,0.45416882444329365
3,6000,10,1,2645,5783,0.45737506484523605
4,6000,10,1,2603,5780,0.4503460207612457
5,6000,10,2,2533,5795,0.43710094909404656
6,6000,10,1,2652,5793,0.4577938891765924
7,6000,10,1,2627,5772,0.4551282051282051
8,6000,10,1,2673,5801,0.46078262368557144
9,6000,10,1,2717,5804,0.46812543073742247
10,6000,10,1,2572,5805,0.4430663221360896
11,6000,10,1,2415,5809,0.41573420554312274
12,6000,10,1,2554,5780,0.44186851211072664
13,6000,10,1,2569,5800,0.4429310344827586
14,6000,10,2,2640,5812,0.4542326221610461
15,6000,10,1,2388,5791,0.4123640131238128
16,6000,10,1,2383,5795,0.41121656600517686
17,6000,10,1,2632,5790,0.4545768566493955
18,6000,10,1,2627,5786,0.4540269616315244
19,6000,10,1,2738,5792,0.4727209944751381
20,6000,10,1,2610,5792,0.45062154696132595
21,6000,10,1,2900,5800,0.5
22,6000,10,1,2598,5788,0.44885970974429856
23,6000,10,1,2581,5792,0.4456146408839779
24,6000,10,1,2743,5803,0.4726865414440806
25,6000,10,1,2569,5788,0.4438493434692467
26,6000,10,1,2540,5797,0.4381576677591858
27,6000,10,1,2764,5785,0.47778738115816766
28,6000,10,2,2703,5801,0.4659541458369247
29,6000,10,1,2645,5797,0.45627048473348286
30,6000,10,1,2470,5784,0.42704011065006914
31,6000,10,1,2571,5787,0.4442716433385174
32,6000,10,1,2578,5777,0.44625238012809415
33,6000,10,1,2547,5783,0.4404288431609891
34,6000,10,2,2520,5788,0.43538355217691777
35,6000,10,3,2525,5786,0.43639820255789835
36,6000,10,1,2583,5795,0.4457290767903365
37,6000,10,1,2544,5778,0.4402907580477674
38,6000,10,1,2617,5790,0.45198618307426597
39,6000,10,1,2456,5796,0.42374051069703245
40,6000,10,2,2651,5787,0.4580957318126836
41,6000,10,1,2516,5790,0.43454231433506046
42,6000,10,2,2438,5788,0.42121630960608153
43,6000,10,1,2676,5802,0.4612202688728025
44,6000,10,1,2731,5795,0.4712683347713546
45,6000,10,1,2609,5790,0.45060449050086354
46,6000,10,1,2756,5801,0.47509050163764865
47,6000,10,1,2690,5801,0.46371315290467163
48,6000,10,1,2616,5792,0.4516574585635359
49,6000,10,1,2433,5798,0.4196274577440497
50,6000,10,1,2583,5803,0.4451145958986731
51,6000,10,1,2577,5790,0.4450777202072539
52,6000,10,2,2488,5808,0.4283746556473829
53,6000,10,1,2497,5806,0.4300723389596969
54,6000,10,1,2608,5790,0.45043177892918823
55,6000,10,1,2661,5797,0.4590305330343281
56,6000,10,1,2754,5790,0.47564766839378236
57,6000,10,1,2511,5799,0.4330056906363166
58,6000,10,1,2401,5796,0.4142512077294686
59,6000,10,1,2683,5812,0.46163110805230556
60,6000,10,1,2685,5772,0.46517671517671516
61,6000,10,2,2569,5783,0.44423309700847313
62,6000,10,1,2638,5795,0.4552200172562554
63,6000,10,1,2693,5787,0.4653533782616209
64,6000,10,2,2558,5800,0.44103448275862067
65,6000,10,1,2555,5793,0.4410495425513551
66,6000,10,2,2810,5797,0.48473348283594964
67,6000,10,1,2483,5792,0.4286947513812155
68,6000,10,1,2540,5796,0.43823326432022086
69,6000,10,1,2522,5799,0.43490256940851874
70,6000,10,1,2463,5804,0.42436250861474845
71,6000,10,1,2557,5770,0.44315424610051996
72,6000,10,2,2458,5789,0.4245983762307825
73,6000,10,1,2620,5804,0.4514128187456926
74,6000,10,1,2607,5794,0.44994822229892995
75,6000,10,1,2721,5797,0.4693807141624978
76,6000,10,1,2363,5813,0.4065026664372957
77,6000,10,1,2637,5796,0.4549689440993789
78,6000,10,1,2545,5796,0.439095928226363
79,6000,10,1,2450,5786,0.42343587970964397
80,6000,10,1,2503,5811,0.43073481328514884
81,6000,10,1,2583,5812,0.4444253269098417
82,6000,10,1,2725,5780,0.47145328719723184
83,6000,10,1,2487,5801,0.42871918634718154
84,6000,10,1,2560,5800,0.4413793103448276
85,6000,10,1,2594,5787,0.44824606877484013
86,6000,10,2,2652,5800,0.4572413793103448
87,6000,10,1,2563,5802,0.44174422612892106
88,6000,10,1,2475,5802,0.4265770423991727
89,6000,10,1,2679,5790,0.4626943005181347
90,6000,10,1,2598,5797,0.4481628428497499
91,6000,10,1,2583,5793,0.4458829621957535
92,6000,10,1,2611,5796,0.4504830917874396
93,6000,10,1,2548,5787,0.44029721790219456
94,6000,10,1,2532,5797,0.43677764360876314
95,6000,10,2,2605,5806,0.44867378573889083
96,6000,10,1,2638,5799,0.4549060182790136
97,6000,10,1,2599,5806,0.4476403720289356
98,6000,10,1,2603,5798,0.4489479130734736
99,6000,10,2,2613,5784,0.45176348547717843
