,n,k,cycle_lengths,as_percent_of_matches
0,1000,3,2,0.0023952095808383233
1,1000,3,2,0.0023952095808383233
2,1000,3,2,0.002380952380952381
3,1000,3,3,0.0035671819262782403
4,1000,3,2,0.002366863905325444
5,1000,3,5,0.005868544600938967
6,1000,3,3,0.0035460992907801418
7,1000,3,6,0.007134363852556481
8,1000,3,10,0.011918951132300357
9,1000,3,2,0.002336448598130841
10,1000,3,2,0.002336448598130841
11,1000,3,2,0.0023781212841854932
12,1000,3,2,0.0023752969121140144
13,1000,3,3,0.0035587188612099642
14,1000,3,4,0.004711425206124852
15,1000,3,2,0.002355712603062426
16,1000,3,2,0.002355712603062426
17,1000,3,2,0.0023837902264600714
18,1000,3,2,0.002352941176470588
19,1000,3,2,0.0023781212841854932
20,1000,3,3,0.0035460992907801418
21,1000,3,11,0.013142174432497013
22,1000,3,5,0.005931198102016607
23,1000,3,2,0.002372479240806643
24,1000,3,2,0.002355712603062426
25,1000,3,4,0.004672897196261682
26,1000,3,3,0.0035714285714285713
27,1000,3,3,0.0035419126328217238
28,1000,3,2,0.002366863905325444
29,1000,3,9,0.01066350710900474
30,1000,3,4,0.004790419161676647
31,1000,3,6,0.007220216606498195
32,1000,3,2,0.002364066193853428
33,1000,3,2,0.002352941176470588
34,1000,3,4,0.004744958481613286
35,1000,3,2,0.002372479240806643
36,1000,3,2,0.002366863905325444
37,1000,3,2,0.002366863905325444
38,1000,3,6,0.00718562874251497
39,1000,3,3,0.0035714285714285713
40,1000,3,2,0.0023952095808383233
41,1000,3,8,0.009557945041816009
42,1000,3,4,0.004672897196261682
43,1000,3,4,0.004819277108433735
44,1000,3,2,0.002364066193853428
45,1000,3,4,0.0047169811320754715
46,1000,3,3,0.0035169988276670576
47,1000,3,3,0.003537735849056604
48,1000,3,4,0.004651162790697674
49,1000,3,2,0.002369668246445498
50,1000,3,3,0.0035502958579881655
51,1000,3,5,0.005945303210463734
52,1000,3,2,0.002380952380952381
53,1000,3,6,0.007042253521126761
54,1000,3,3,0.0035087719298245615
55,1000,3,2,0.0023952095808383233
56,1000,3,3,0.003575685339690107
57,1000,3,5,0.00585480093676815
58,1000,3,2,0.0023501762632197414
59,1000,3,2,0.002364066193853428
60,1000,3,3,0.003575685339690107
61,1000,3,3,0.0035587188612099642
62,1000,3,2,0.0023391812865497076
63,1000,3,2,0.0023837902264600714
64,1000,3,3,0.003575685339690107
65,1000,3,2,0.002380952380952381
66,1000,3,2,0.002380952380952381
67,1000,3,4,0.004790419161676647
68,1000,3,2,0.002372479240806643
69,1000,3,2,0.0023781212841854932
70,1000,3,2,0.002403846153846154
71,1000,3,4,0.004784688995215311
72,1000,3,5,0.005952380952380952
73,1000,3,2,0.002380952380952381
74,1000,3,2,0.002372479240806643
75,1000,3,2,0.002386634844868735
76,1000,3,2,0.002398081534772182
77,1000,3,2,0.0024067388688327317
78,1000,3,4,0.004739336492890996
79,1000,3,2,0.002369668246445498
80,1000,3,2,0.002421307506053269
81,1000,3,5,0.005924170616113744
82,1000,3,2,0.002386634844868735
83,1000,3,2,0.0023837902264600714
84,1000,3,2,0.0023837902264600714
85,1000,3,3,0.0035714285714285713
86,1000,3,3,0.0036188178528347406
87,1000,3,2,0.002333722287047841
88,1000,3,2,0.0024067388688327317
89,1000,3,3,0.0036101083032490976
90,1000,3,3,0.0035460992907801418
91,1000,3,2,0.002364066193853428
92,1000,3,2,0.0024009603841536613
93,1000,3,2,0.0023584905660377358
94,1000,3,2,0.0023781212841854932
95,1000,3,4,0.004796163069544364
96,1000,3,3,0.003579952267303103
97,1000,3,2,0.002352941176470588
98,1000,3,2,0.002352941176470588
99,1000,3,2,0.0024067388688327317
100,1000,3,2,0.0024067388688327317
101,1000,3,4,0.004767580452920143
102,1000,3,4,0.004733727810650888
103,1000,3,2,0.002366863905325444
104,1000,3,2,0.002347417840375587
105,1000,3,3,0.003537735849056604
106,1000,3,2,0.002403846153846154
107,1000,3,4,0.004790419161676647
108,1000,3,6,0.007125890736342043
109,1000,3,3,0.0035545023696682463
110,1000,3,3,0.0035087719298245615
111,1000,3,3,0.003537735849056604
112,1000,3,4,0.004700352526439483
113,1000,3,2,0.0024125452352231603
114,1000,3,3,0.003575685339690107
115,1000,3,3,0.0035502958579881655
116,1000,3,5,0.006002400960384154
117,1000,3,2,0.0023584905660377358
118,1000,3,2,0.0024009603841536613
119,1000,3,2,0.002336448598130841
120,1000,3,2,0.0023228803716608595
121,1000,3,4,0.004645760743321719
122,1000,3,3,0.003484320557491289
123,1000,3,2,0.002372479240806643
124,1000,3,2,0.0023894862604540022
125,1000,3,3,0.0035885167464114833
126,1000,3,3,0.003537735849056604
127,1000,3,2,0.002372479240806643
128,1000,3,2,0.002355712603062426
129,1000,3,4,0.004807692307692308
130,1000,3,3,0.003579952267303103
131,1000,3,3,0.0035087719298245615
132,1000,3,2,0.002386634844868735
133,1000,3,2,0.0024154589371980675
134,1000,3,2,0.0024154589371980675
135,1000,3,3,0.0035419126328217238
136,1000,3,4,0.004733727810650888
137,1000,3,6,0.007142857142857143
138,1000,3,2,0.002369668246445498
139,1000,3,2,0.002386634844868735
140,1000,3,2,0.0023894862604540022
141,1000,3,3,0.003605769230769231
142,1000,3,3,0.0035971223021582736
143,1000,3,2,0.002398081534772182
144,1000,3,2,0.0023752969121140144
145,1000,3,3,0.0035587188612099642
146,1000,3,3,0.003592814371257485
147,1000,3,2,0.0024125452352231603
148,1000,3,5,0.005931198102016607
149,1000,3,3,0.0035460992907801418
150,1000,3,7,0.008464328899637243
151,1000,3,2,0.002355712603062426
152,1000,3,2,0.002380952380952381
153,1000,3,2,0.002364066193853428
154,1000,3,3,0.0035671819262782403
155,1000,3,9,0.01066350710900474
156,1000,3,2,0.0023923444976076554
157,1000,3,7,0.008293838862559242
158,1000,3,3,0.0035587188612099642
159,1000,3,2,0.002372479240806643
160,1000,3,3,0.0035842293906810036
161,1000,3,3,0.003575685339690107
162,1000,3,3,0.003579952267303103
163,1000,3,6,0.007228915662650603
164,1000,3,14,0.016867469879518072
165,1000,3,3,0.0035629453681710215
166,1000,3,5,0.006016847172081829
167,1000,3,2,0.0024067388688327317
168,1000,3,3,0.003575685339690107
169,1000,3,3,0.003575685339690107
170,1000,3,3,0.003605769230769231
171,1000,3,2,0.0023781212841854932
172,1000,3,4,0.0047562425683709865
173,1000,3,4,0.004711425206124852
174,1000,3,3,0.0035971223021582736
175,1000,3,2,0.00234192037470726
176,1000,3,2,0.0023837902264600714
177,1000,3,2,0.002366863905325444
178,1000,3,2,0.002372479240806643
179,1000,3,2,0.0024242424242424242
180,1000,3,2,0.002347417840375587
181,1000,3,2,0.002380952380952381
182,1000,3,2,0.002364066193853428
183,1000,3,2,0.002403846153846154
184,1000,3,2,0.002386634844868735
185,1000,3,2,0.0023584905660377358
186,1000,3,6,0.007151370679380214
187,1000,3,3,0.0035885167464114833
188,1000,3,2,0.002366863905325444
189,1000,3,4,0.004801920768307323
190,1000,3,2,0.002380952380952381
191,1000,3,2,0.002352941176470588
192,1000,3,2,0.002352941176470588
193,1000,3,3,0.0035460992907801418
194,1000,3,7,0.00831353919239905
195,1000,3,2,0.002386634844868735
196,1000,3,2,0.0023952095808383233
197,1000,3,3,0.003579952267303103
198,1000,3,3,0.003592814371257485
199,1000,3,5,0.006002400960384154
200,1000,3,2,0.0023894862604540022
201,1000,3,2,0.0024125452352231603
202,1000,3,2,0.002380952380952381
203,1000,3,2,0.0023952095808383233
204,1000,3,3,0.003592814371257485
205,1000,3,2,0.002372479240806643
206,1000,3,2,0.0024009603841536613
207,1000,3,2,0.0024009603841536613
208,1000,3,2,0.0024096385542168677
209,1000,3,7,0.008158508158508158
210,1000,3,2,0.002331002331002331
211,1000,3,2,0.002369668246445498
212,1000,3,2,0.0023446658851113715
213,1000,3,2,0.0023894862604540022
214,1000,3,4,0.004711425206124852
215,1000,3,4,0.004761904761904762
216,1000,3,2,0.0023952095808383233
217,1000,3,2,0.0023781212841854932
218,1000,3,2,0.002366863905325444
219,1000,3,4,0.0048250904704463205
220,1000,3,2,0.002355712603062426
221,1000,3,3,0.0035545023696682463
222,1000,3,2,0.002372479240806643
223,1000,3,3,0.0035335689045936395
224,1000,3,3,0.0035587188612099642
225,1000,3,2,0.002372479240806643
226,1000,3,2,0.0023894862604540022
227,1000,3,3,0.0035502958579881655
228,1000,3,4,0.00468384074941452
229,1000,3,4,0.004733727810650888
230,1000,3,3,0.0035971223021582736
231,1000,3,2,0.0024096385542168677
232,1000,3,3,0.0035671819262782403
233,1000,3,2,0.0023391812865497076
234,1000,3,3,0.0036101083032490976
235,1000,3,5,0.005924170616113744
236,1000,3,2,0.0024183796856106408
237,1000,3,2,0.0023894862604540022
238,1000,3,2,0.002398081534772182
239,1000,3,3,0.0036363636363636364
240,1000,3,3,0.003575685339690107
241,1000,3,2,0.0023781212841854932
242,1000,3,2,0.0023837902264600714
243,1000,3,2,0.0023923444976076554
244,1000,3,2,0.002355712603062426
245,1000,3,2,0.0023923444976076554
246,1000,3,2,0.0023612750885478157
247,1000,3,7,0.008393285371702638
248,1000,3,2,0.0023752969121140144
249,1000,3,9,0.010688836104513063
250,1000,3,2,0.002398081534772182
251,1000,3,4,0.004807692307692308
252,1000,3,3,0.0035587188612099642
253,1000,3,2,0.002364066193853428
254,1000,3,2,0.0023781212841854932
255,1000,3,2,0.0023584905660377358
256,1000,3,2,0.002403846153846154
257,1000,3,3,0.0035545023696682463
258,1000,3,3,0.0035629453681710215
259,1000,3,2,0.0023781212841854932
260,1000,3,2,0.002369668246445498
261,1000,3,2,0.002398081534772182
262,1000,3,5,0.005995203836930456
263,1000,3,3,0.0035169988276670576
264,1000,3,2,0.0024096385542168677
265,1000,3,2,0.0024096385542168677
266,1000,3,2,0.002380952380952381
267,1000,3,7,0.008323424494649227
268,1000,3,2,0.0024067388688327317
269,1000,3,3,0.003537735849056604
270,1000,3,4,0.004801920768307323
271,1000,3,8,0.009512485136741973
272,1000,3,4,0.004796163069544364
273,1000,3,2,0.002430133657351154
274,1000,3,2,0.002430133657351154
275,1000,3,2,0.0023923444976076554
276,1000,3,4,0.004796163069544364
277,1000,3,4,0.004790419161676647
278,1000,3,3,0.0035971223021582736
279,1000,3,3,0.0035842293906810036
280,1000,3,4,0.004819277108433735
281,1000,3,3,0.0035587188612099642
282,1000,3,5,0.006024096385542169
283,1000,3,6,0.007317073170731708
284,1000,3,2,0.0023837902264600714
285,1000,3,2,0.002366863905325444
286,1000,3,3,0.0035714285714285713
287,1000,3,2,0.0023584905660377358
288,1000,3,2,0.0023752969121140144
289,1000,3,3,0.00351288056206089
290,1000,3,3,0.0035545023696682463
291,1000,3,2,0.002369668246445498
292,1000,3,2,0.002333722287047841
293,1000,3,2,0.002380952380952381
294,1000,3,2,0.0024096385542168677
295,1000,3,3,0.0035460992907801418
296,1000,3,6,0.007202881152460984
297,1000,3,2,0.0024009603841536613
298,1000,3,3,0.0035460992907801418
299,1000,3,2,0.0023781212841854932
300,1000,3,4,0.0048250904704463205
301,1000,3,5,0.006009615384615385
302,1000,3,3,0.0035629453681710215
303,1000,3,3,0.0035714285714285713
304,1000,3,2,0.0024009603841536613
305,1000,3,2,0.002366863905325444
306,1000,3,2,0.00243605359317905
307,1000,3,2,0.002398081534772182
308,1000,3,6,0.007194244604316547
309,1000,3,3,0.003537735849056604
310,1000,3,2,0.0023923444976076554
311,1000,3,3,0.0035842293906810036
312,1000,3,4,0.004784688995215311
313,1000,3,2,0.0023781212841854932
314,1000,3,2,0.002336448598130841
315,1000,3,2,0.0023894862604540022
316,1000,3,2,0.0023612750885478157
317,1000,3,3,0.003575685339690107
318,1000,3,4,0.004739336492890996
319,1000,3,2,0.0023923444976076554
320,1000,3,2,0.002398081534772182
321,1000,3,2,0.0023752969121140144
322,1000,3,3,0.0035419126328217238
323,1000,3,3,0.003579952267303103
324,1000,3,3,0.0035545023696682463
325,1000,3,2,0.002380952380952381
326,1000,3,2,0.0023781212841854932
327,1000,3,2,0.0023923444976076554
328,1000,3,2,0.0023837902264600714
329,1000,3,5,0.0059382422802850355
330,1000,3,4,0.004744958481613286
331,1000,3,4,0.004744958481613286
332,1000,3,5,0.005889281507656066
333,1000,3,3,0.0035671819262782403
334,1000,3,3,0.0036188178528347406
335,1000,3,3,0.0035587188612099642
336,1000,3,2,0.0023781212841854932
337,1000,3,2,0.0023781212841854932
338,1000,3,4,0.0048367593712212815
339,1000,3,3,0.0035545023696682463
340,1000,3,2,0.002369668246445498
341,1000,3,4,0.004761904761904762
342,1000,3,2,0.0023952095808383233
343,1000,3,2,0.0023837902264600714
344,1000,3,3,0.0035545023696682463
345,1000,3,2,0.002366863905325444
346,1000,3,4,0.004801920768307323
347,1000,3,2,0.002380952380952381
348,1000,3,10,0.011918951132300357
349,1000,3,5,0.005875440658049354
350,1000,3,4,0.004807692307692308
351,1000,3,5,0.0059665871121718375
352,1000,3,3,0.0035294117647058825
353,1000,3,2,0.002352941176470588
354,1000,3,2,0.0023894862604540022
355,1000,3,6,0.007100591715976331
356,1000,3,4,0.004784688995215311
357,1000,3,3,0.0036275695284159614
358,1000,3,2,0.002421307506053269
359,1000,3,2,0.002380952380952381
360,1000,3,2,0.0023923444976076554
361,1000,3,2,0.0024330900243309003
362,1000,3,3,0.0036496350364963502
363,1000,3,2,0.0024125452352231603
364,1000,3,2,0.002403846153846154
365,1000,3,2,0.002366863905325444
366,1000,3,3,0.0036319612590799033
367,1000,3,2,0.002364066193853428
368,1000,3,5,0.0059031877213695395
369,1000,3,2,0.0023752969121140144
370,1000,3,4,0.004750593824228029
371,1000,3,3,0.0035629453681710215
372,1000,3,2,0.0023612750885478157
373,1000,3,3,0.0036231884057971015
374,1000,3,5,0.006038647342995169
375,1000,3,6,0.007255139056831923
376,1000,3,2,0.0023584905660377358
377,1000,3,2,0.0023584905660377358
378,1000,3,3,0.0035294117647058825
379,1000,3,3,0.0035671819262782403
380,1000,3,3,0.0035587188612099642
381,1000,3,2,0.002372479240806643
382,1000,3,8,0.009422850412249705
