,n,k,cycle_lengths_eadam,as_percent_of_matches_eadam
0,1000,5,19,0.020948180815876516
1,1000,5,3,0.0033076074972436605
2,1000,5,4,0.004424778761061947
3,1000,5,9,0.00995575221238938
4,1000,5,5,0.0055309734513274336
5,1000,5,2,0.0022123893805309734
6,1000,5,6,0.006622516556291391
7,1000,5,5,0.005518763796909493
8,1000,5,6,0.006615214994487321
9,1000,5,4,0.004410143329658214
10,1000,5,3,0.0033076074972436605
11,1000,5,3,0.003293084522502744
12,1000,5,6,0.006586169045005488
13,1000,5,2,0.0021953896816684962
14,1000,5,5,0.0054288816503800215
15,1000,5,12,0.013029315960912053
16,1000,5,3,0.003257328990228013
17,1000,5,6,0.006514657980456026
18,1000,5,3,0.003257328990228013
19,1000,5,3,0.003271537622682661
20,1000,5,2,0.0021810250817884407
21,1000,5,5,0.005506607929515419
22,1000,5,5,0.005506607929515419
23,1000,5,7,0.007709251101321586
24,1000,5,25,0.028026905829596414
25,1000,5,5,0.00544069640914037
26,1000,5,14,0.015350877192982455
27,1000,5,11,0.01206140350877193
28,1000,5,6,0.00663716814159292
29,1000,5,2,0.0022123893805309734
30,1000,5,16,0.017699115044247787
31,1000,5,13,0.014207650273224045
32,1000,5,3,0.003278688524590164
33,1000,5,5,0.005482456140350877
34,1000,5,2,0.0021929824561403508
35,1000,5,2,0.0021929824561403508
36,1000,5,5,0.005470459518599562
37,1000,5,4,0.00437636761487965
38,1000,5,3,0.003293084522502744
39,1000,5,10,0.010976948408342482
40,1000,5,16,0.017837235228539576
41,1000,5,6,0.006688963210702341
42,1000,5,5,0.005574136008918618
43,1000,5,3,0.0033444816053511705
44,1000,5,4,0.004459308807134894
45,1000,5,3,0.0033444816053511705
46,1000,5,13,0.014238773274917854
47,1000,5,9,0.009857612267250822
48,1000,5,7,0.007667031763417305
49,1000,5,12,0.013143483023001095
50,1000,5,3,0.0032858707557502738
51,1000,5,3,0.0032858707557502738
52,1000,5,6,0.006593406593406593
53,1000,5,2,0.0022026431718061676
54,1000,5,19,0.02092511013215859
55,1000,5,8,0.00881057268722467
56,1000,5,4,0.004405286343612335
57,1000,5,22,0.024498886414253896
58,1000,5,10,0.011135857461024499
59,1000,5,6,0.0066815144766146995
60,1000,5,40,0.04381161007667032
61,1000,5,3,0.0032858707557502738
62,1000,5,15,0.0165016501650165
63,1000,5,11,0.0121012101210121
64,1000,5,4,0.0044004400440044
65,1000,5,7,0.007667031763417305
66,1000,5,5,0.005482456140350877
67,1000,5,19,0.020833333333333332
68,1000,5,10,0.010964912280701754
69,1000,5,4,0.0043859649122807015
70,1000,5,19,0.021134593993325918
71,1000,5,12,0.013348164627363738
72,1000,5,2,0.002224694104560623
73,1000,5,12,0.013157894736842105
74,1000,5,20,0.022050716648291068
75,1000,5,10,0.011025358324145534
76,1000,5,2,0.002205071664829107
77,1000,5,4,0.004429678848283499
78,1000,5,11,0.012181616832779624
79,1000,5,7,0.007829977628635347
80,1000,5,4,0.0044742729306487695
81,1000,5,6,0.006711409395973154
82,1000,5,12,0.013157894736842105
83,1000,5,8,0.00881057268722467
84,1000,5,3,0.003303964757709251
85,1000,5,2,0.0022197558268590455
86,1000,5,2,0.0022197558268590455
87,1000,5,2,0.0021953896816684962
88,1000,5,3,0.0032822757111597373
89,1000,5,9,0.009846827133479213
90,1000,5,7,0.007658643326039387
91,1000,5,8,0.0087527352297593
92,1000,5,40,0.04395604395604396
93,1000,5,3,0.0032967032967032967
94,1000,5,6,0.006593406593406593
95,1000,5,4,0.004429678848283499
96,1000,5,8,0.008859357696566999
97,1000,5,5,0.005537098560354375
98,1000,5,20,0.021715526601520086
99,1000,5,9,0.009771986970684038
100,1000,5,24,0.02628696604600219
101,1000,5,4,0.004381161007667032
102,1000,5,5,0.00547645125958379
103,1000,5,2,0.002190580503833516
104,1000,5,14,0.015350877192982455
105,1000,5,19,0.020833333333333332
106,1000,5,20,0.02224694104560623
107,1000,5,22,0.024471635150166853
108,1000,5,28,0.03114571746384872
109,1000,5,2,0.002224694104560623
110,1000,5,3,0.0033370411568409346
111,1000,5,27,0.030066815144766147
112,1000,5,9,0.01002227171492205
113,1000,5,2,0.0022271714922048997
114,1000,5,3,0.0033407572383073497
115,1000,5,18,0.019867549668874173
116,1000,5,5,0.005518763796909493
117,1000,5,2,0.002207505518763797
118,1000,5,4,0.004415011037527594
119,1000,5,11,0.012074643249176729
120,1000,5,19,0.020856201975850714
121,1000,5,8,0.008781558726673985
122,1000,5,2,0.0021953896816684962
123,1000,5,19,0.020856201975850714
124,1000,5,17,0.018660812294182216
125,1000,5,16,0.01756311745334797
126,1000,5,5,0.00546448087431694
127,1000,5,7,0.007650273224043716
128,1000,5,4,0.004371584699453552
