,n,k,n_changes,n_matches
0,2000,8,422,1897
1,2000,8,456,1900
2,2000,8,532,1903
3,2000,8,332,1906
4,2000,8,525,1912
5,2000,8,496,1902
6,2000,8,503,1907
7,2000,8,371,1902
8,2000,8,478,1905
9,2000,8,451,1900
10,2000,8,471,1913
11,2000,8,424,1903
12,2000,8,470,1900
13,2000,8,493,1904
14,2000,8,406,1895
15,2000,8,381,1898
16,2000,8,463,1910
17,2000,8,487,1893
18,2000,8,320,1905
19,2000,8,493,1906
20,2000,8,499,1911
21,2000,8,532,1908
22,2000,8,374,1902
23,2000,8,437,1904
24,2000,8,324,1903
25,2000,8,446,1909
26,2000,8,498,1893
27,2000,8,455,1901
28,2000,8,387,1907
29,2000,8,536,1908
30,2000,8,484,1894
31,2000,8,459,1896
32,2000,8,468,1910
33,2000,8,434,1907
34,2000,8,456,1918
35,2000,8,481,1914
36,2000,8,457,1900
37,2000,8,452,1901
38,2000,8,459,1905
39,2000,8,391,1897
40,2000,8,502,1911
41,2000,8,399,1896
42,2000,8,396,1908
43,2000,8,403,1910
44,2000,8,494,1896
45,2000,8,373,1898
46,2000,8,332,1913
47,2000,8,358,1893
48,2000,8,397,1908
49,2000,8,407,1912
50,2000,8,456,1905
51,2000,8,498,1900
52,2000,8,478,1901
53,2000,8,465,1917
54,2000,8,480,1908
55,2000,8,485,1899
56,2000,8,424,1918
57,2000,8,429,1900
58,2000,8,417,1896
59,2000,8,392,1898
60,2000,8,397,1890
61,2000,8,393,1900
62,2000,8,403,1906
63,2000,8,414,1908
64,2000,8,482,1903
65,2000,8,366,1905
66,2000,8,452,1893
67,2000,8,492,1904
68,2000,8,514,1917
69,2000,8,464,1901
70,2000,8,479,1900
71,2000,8,503,1897
72,2000,8,482,1903
73,2000,8,377,1906
74,2000,8,395,1896
75,2000,8,373,1905
76,2000,8,522,1905
77,2000,8,437,1909
78,2000,8,365,1894
79,2000,8,426,1904
80,2000,8,447,1898
81,2000,8,518,1910
82,2000,8,475,1911
83,2000,8,453,1918
84,2000,8,502,1901
85,2000,8,374,1907
86,2000,8,473,1902
87,2000,8,475,1905
