,n,k,n_changes_eadam,n_matches
0,2000,8,568,1897
1,2000,8,606,1900
2,2000,8,698,1903
3,2000,8,418,1906
4,2000,8,632,1912
5,2000,8,674,1902
6,2000,8,634,1907
7,2000,8,476,1902
8,2000,8,602,1905
9,2000,8,566,1900
10,2000,8,610,1913
11,2000,8,640,1903
12,2000,8,592,1900
13,2000,8,658,1904
14,2000,8,562,1895
15,2000,8,490,1898
16,2000,8,572,1910
17,2000,8,646,1893
18,2000,8,402,1905
19,2000,8,628,1906
20,2000,8,684,1911
21,2000,8,678,1908
22,2000,8,502,1902
23,2000,8,602,1904
24,2000,8,442,1903
25,2000,8,578,1909
26,2000,8,556,1893
27,2000,8,572,1901
28,2000,8,498,1907
29,2000,8,636,1908
30,2000,8,588,1894
31,2000,8,608,1896
32,2000,8,556,1910
33,2000,8,562,1907
34,2000,8,618,1918
35,2000,8,596,1914
36,2000,8,570,1900
37,2000,8,548,1901
38,2000,8,560,1905
39,2000,8,494,1897
40,2000,8,680,1911
41,2000,8,554,1896
42,2000,8,516,1908
43,2000,8,528,1910
44,2000,8,600,1896
45,2000,8,494,1898
46,2000,8,394,1913
47,2000,8,466,1893
48,2000,8,544,1908
49,2000,8,526,1912
50,2000,8,558,1905
51,2000,8,664,1900
52,2000,8,534,1901
53,2000,8,596,1917
54,2000,8,616,1908
55,2000,8,686,1899
56,2000,8,522,1918
57,2000,8,538,1900
58,2000,8,594,1896
59,2000,8,448,1898
60,2000,8,502,1890
61,2000,8,488,1900
62,2000,8,486,1906
63,2000,8,534,1908
64,2000,8,592,1903
65,2000,8,542,1905
66,2000,8,588,1893
67,2000,8,616,1904
68,2000,8,636,1917
69,2000,8,578,1901
70,2000,8,532,1900
71,2000,8,668,1897
72,2000,8,602,1903
73,2000,8,514,1906
74,2000,8,536,1896
75,2000,8,486,1905
76,2000,8,688,1905
77,2000,8,592,1909
78,2000,8,384,1894
79,2000,8,542,1904
80,2000,8,540,1898
81,2000,8,630,1910
82,2000,8,594,1911
83,2000,8,598,1918
84,2000,8,632,1901
85,2000,8,468,1907
86,2000,8,602,1902
87,2000,8,580,1905
88,2000,8,516,1899
89,2000,8,426,1899
90,2000,8,638,1915
91,2000,8,496,1900
92,2000,8,610,1909
93,2000,8,554,1904
94,2000,8,500,1903
95,2000,8,558,1909
96,2000,8,570,1905
97,2000,8,530,1905
98,2000,8,480,1898
99,2000,8,614,1898
100,2000,8,698,1909
101,2000,8,532,1897
102,2000,8,630,1904
103,2000,8,680,1910
104,2000,8,616,1909
105,2000,8,550,1902
106,2000,8,552,1906
107,2000,8,606,1903
108,2000,8,558,1910
109,2000,8,466,1895
110,2000,8,508,1892
111,2000,8,356,1911
112,2000,8,582,1894
113,2000,8,556,1910
114,2000,8,652,1901
115,2000,8,784,1900
116,2000,8,532,1897
117,2000,8,502,1899
118,2000,8,568,1899
119,2000,8,646,1906
120,2000,8,648,1894
121,2000,8,568,1905
122,2000,8,472,1900
123,2000,8,542,1912
124,2000,8,480,1898
125,2000,8,650,1903
126,2000,8,648,1899
127,2000,8,548,1912
128,2000,8,548,1908
129,2000,8,464,1892
130,2000,8,472,1892
131,2000,8,656,1905
132,2000,8,590,1902
133,2000,8,562,1908
134,2000,8,496,1906
135,2000,8,690,1906
136,2000,8,442,1915
137,2000,8,596,1906
138,2000,8,610,1904
139,2000,8,448,1908
140,2000,8,576,1894
141,2000,8,576,1914
142,2000,8,634,1907
143,2000,8,622,1904
144,2000,8,624,1890
145,2000,8,606,1899
146,2000,8,570,1900
147,2000,8,422,1899
148,2000,8,520,1896
149,2000,8,448,1905
150,2000,8,610,1889
151,2000,8,694,1896
152,2000,8,662,1907
153,2000,8,644,1908
154,2000,8,624,1908
155,2000,8,476,1902
156,2000,8,602,1888
157,2000,8,718,1914
158,2000,8,538,1890
159,2000,8,400,1901
160,2000,8,632,1905
161,2000,8,590,1893
162,2000,8,444,1904
163,2000,8,710,1913
164,2000,8,562,1908
165,2000,8,530,1904
166,2000,8,566,1902
167,2000,8,666,1900
168,2000,8,658,1902
169,2000,8,622,1907
170,2000,8,610,1904
171,2000,8,542,1883
172,2000,8,456,1923
173,2000,8,624,1891
174,2000,8,504,1898
175,2000,8,690,1904
176,2000,8,564,1905
177,2000,8,528,1908
178,2000,8,584,1889
179,2000,8,532,1905
180,2000,8,574,1912
181,2000,8,432,1907
182,2000,8,568,1906
183,2000,8,630,1906
184,2000,8,570,1902
185,2000,8,522,1910
186,2000,8,634,1902
