,n,k,cycle_lengths,as_percent_of_matches
0,3000,4,3,0.0011355034065102195
1,3000,4,9,0.003391107761868877
2,3000,4,13,0.004922377887163953
3,3000,4,4,0.0015145778114350624
4,3000,4,11,0.004133784291619692
5,3000,4,3,0.0011333585190782018
6,3000,4,2,0.0007555723460521345
7,3000,4,3,0.001131648434552999
8,3000,4,3,0.001139384732244588
9,3000,4,2,0.0007518796992481203
10,3000,4,2,0.0007567158531971245
11,3000,4,2,0.0007567158531971245
12,3000,4,3,0.0011261261261261261
13,3000,4,3,0.0011307953260459858
14,3000,4,12,0.004567948229920061
15,3000,4,3,0.001145475372279496
16,3000,4,4,0.0015273004963726614
17,3000,4,4,0.0015145778114350624
18,3000,4,3,0.001135933358576297
19,3000,4,2,0.0007547169811320754
20,3000,4,7,0.002655538694992413
21,3000,4,2,0.0007587253414264037
22,3000,4,5,0.0018719580681392737
23,3000,4,2,0.00076103500761035
24,3000,4,3,0.001141552511415525
25,3000,4,3,0.001141552511415525
26,3000,4,4,0.0015088645794039985
27,3000,4,2,0.0007624857033930614
28,3000,4,8,0.003032600454890068
29,3000,4,4,0.001516300227445034
30,3000,4,5,0.0019004180919802356
31,3000,4,2,0.0007558578987150416
32,3000,4,9,0.003401360544217687
33,3000,4,5,0.001889644746787604
34,3000,4,6,0.002277904328018223
35,3000,4,2,0.0007593014426727411
36,3000,4,6,0.002254791431792559
37,3000,4,3,0.001139384732244588
38,3000,4,2,0.0007595898214963919
39,3000,4,12,0.004524886877828055
40,3000,4,3,0.0011312217194570137
41,3000,4,12,0.004557538928978352
42,3000,4,15,0.005701254275940707
43,3000,4,2,0.0007590132827324478
44,3000,4,2,0.0007532956685499058
45,3000,4,2,0.0007578628268283441
46,3000,4,4,0.0015174506828528073
47,3000,4,2,0.0007587253414264037
48,3000,4,9,0.003411675511751327
49,3000,4,4,0.001516300227445034
50,3000,4,5,0.001885369532428356
51,3000,4,10,0.0037495313085864268
52,3000,4,4,0.0015117157974300832
53,3000,4,3,0.0011337868480725624
54,3000,4,2,0.0007558578987150416
55,3000,4,3,0.0011337868480725624
56,3000,4,2,0.0007527286413248024
57,3000,4,4,0.0015261350629530714
58,3000,4,6,0.0022735884804850324
59,3000,4,12,0.004548900682335102
60,3000,4,2,0.000758150113722517
61,3000,4,4,0.0015071590052750565
62,3000,4,7,0.0026375282592313487
63,3000,4,3,0.0011278195488721805
64,3000,4,10,0.003795066413662239
65,3000,4,12,0.004561003420752566
66,3000,4,5,0.0019004180919802356
67,3000,4,8,0.0030349013657056147
68,3000,4,2,0.0007558578987150416
69,3000,4,11,0.0041572184429327285
70,3000,4,4,0.0015117157974300832
71,3000,4,3,0.0011350737797956867
72,3000,4,3,0.0011273957158962795
73,3000,4,4,0.001503194287861706
74,3000,4,3,0.0011273957158962795
75,3000,4,4,0.0015060240963855422
76,3000,4,6,0.0022692889561270802
77,3000,4,5,0.001887504718761797
78,3000,4,5,0.001890359168241966
79,3000,4,3,0.0011342155009451795
80,3000,4,2,0.0007561436672967864
81,3000,4,2,0.0007555723460521345
82,3000,4,3,0.0011355034065102195
83,3000,4,3,0.001131648434552999
84,3000,4,9,0.003400075557234605
85,3000,4,5,0.0018889308651303363
86,3000,4,4,0.001511144692104269
87,3000,4,8,0.00300187617260788
88,3000,4,2,0.0007555723460521345
89,3000,4,6,0.002257336343115124
90,3000,4,10,0.0037821482602118004
91,3000,4,2,0.0007510326699211416
92,3000,4,2,0.000757002271006813
93,3000,4,3,0.001125703564727955
94,3000,4,2,0.0007587253414264037
95,3000,4,2,0.0007558578987150416
96,3000,4,7,0.002661596958174905
97,3000,4,5,0.0018917896329928112
98,3000,4,7,0.0026335590669676447
99,3000,4,3,0.0011411182959300114
100,3000,4,3,0.0011411182959300114
101,3000,4,6,0.0022488755622188904
102,3000,4,2,0.0007561436672967864
103,3000,4,2,0.0007547169811320754
104,3000,4,2,0.0007547169811320754
105,3000,4,4,0.0015117157974300832
106,3000,4,9,0.003402646502835539
107,3000,4,4,0.0015117157974300832
108,3000,4,11,0.004138449962377728
109,3000,4,10,0.003762227238525207
110,3000,4,2,0.0007567158531971245
111,3000,4,3,0.001131648434552999
112,3000,4,6,0.00228310502283105
113,3000,4,2,0.00076103500761035
114,3000,4,3,0.001141552511415525
115,3000,4,2,0.0007607455306200076
116,3000,4,15,0.005647590361445783
117,3000,4,8,0.0030234315948601664
118,3000,4,9,0.003387278885961611
119,3000,4,3,0.0011432926829268292
120,3000,4,6,0.0022770398481973433
121,3000,4,2,0.0007590132827324478
122,3000,4,6,0.002278769464489176
123,3000,4,11,0.004187285877426722
124,3000,4,2,0.0007613247049866769
125,3000,4,2,0.0007613247049866769
126,3000,4,2,0.0007613247049866769
127,3000,4,4,0.0015088645794039985
128,3000,4,4,0.0015145778114350624
129,3000,4,2,0.0007538635506973238
130,3000,4,4,0.001513431706394249
131,3000,4,4,0.001513431706394249
132,3000,4,4,0.0015071590052750565
133,3000,4,6,0.0022675736961451248
134,3000,4,2,0.0007607455306200076
135,3000,4,7,0.0026455026455026454
136,3000,4,5,0.0018917896329928112
137,3000,4,2,0.0007567158531971245
138,3000,4,5,0.0019011406844106464
139,3000,4,3,0.0011282437006393381
140,3000,4,3,0.0011303692539562924
141,3000,4,2,0.0007535795026375283
142,3000,4,8,0.0030165912518853697
143,3000,4,3,0.0011252813203300824
144,3000,4,2,0.0007501875468867217
145,3000,4,2,0.0007604562737642585
146,3000,4,3,0.0011406844106463879
147,3000,4,3,0.0011363636363636363
148,3000,4,3,0.001131648434552999
149,3000,4,2,0.0007544322897019992
150,3000,4,5,0.001889644746787604
151,3000,4,2,0.0007558578987150416
152,3000,4,14,0.005267118133935289
153,3000,4,6,0.002271866717152594
154,3000,4,3,0.001135933358576297
155,3000,4,4,0.0015232292460015233
156,3000,4,9,0.003409090909090909
157,3000,4,3,0.0011363636363636363
158,3000,4,3,0.0011380880121396055
159,3000,4,8,0.003017729158807997
160,3000,4,2,0.0007627765064836003
161,3000,4,3,0.0011441647597254005
162,3000,4,4,0.0015255530129672007
163,3000,4,4,0.0015255530129672007
164,3000,4,2,0.0007564296520423601
165,3000,4,10,0.0037411148522259632
166,3000,4,2,0.0007550018875047187
167,3000,4,30,0.011342155009451797
168,3000,4,7,0.002669717772692601
169,3000,4,2,0.0007535795026375283
170,3000,4,7,0.0026335590669676447
171,3000,4,8,0.0030097817908201654
172,3000,4,3,0.001128668171557562
173,3000,4,6,0.0022701475595913734
174,3000,4,3,0.0011380880121396055
175,3000,4,5,0.001904036557501904
176,3000,4,3,0.001142857142857143
177,3000,4,2,0.0007561436672967864
178,3000,4,2,0.0007561436672967864
179,3000,4,2,0.0007555723460521345
180,3000,4,3,0.0011333585190782018
181,3000,4,3,0.0011333585190782018
182,3000,4,4,0.0015048908954100827
183,3000,4,2,0.0007544322897019992
184,3000,4,3,0.001131648434552999
185,3000,4,7,0.0026425066062665155
186,3000,4,5,0.001899696048632219
187,3000,4,3,0.0011337868480725624
188,3000,4,5,0.0018882175226586104
189,3000,4,2,0.0007552870090634441
190,3000,4,5,0.0018867924528301887
191,3000,4,7,0.0026415094339622643
192,3000,4,8,0.0030188679245283017
193,3000,4,2,0.0007547169811320754
194,3000,4,6,0.0022497187851518562
195,3000,4,2,0.0007544322897019992
196,3000,4,3,0.001131648434552999
197,3000,4,3,0.0011411182959300114
198,3000,4,6,0.002282236591860023
199,3000,4,4,0.0015214910612400153
200,3000,4,11,0.004169825625473844
201,3000,4,2,0.000758150113722517
202,3000,4,3,0.0011320754716981133
203,3000,4,5,0.0018867924528301887
204,3000,4,4,0.0015037593984962407
205,3000,4,3,0.0011278195488721805
206,3000,4,2,0.0007530120481927711
207,3000,4,5,0.0018839487565938207
208,3000,4,6,0.002260738507912585
209,3000,4,18,0.006784771956275914
210,3000,4,15,0.005653976630229929
211,3000,4,2,0.0007538635506973238
212,3000,4,5,0.0018846588767433095
213,3000,4,5,0.0018789928598271326
214,3000,4,2,0.0007584376185058779
215,3000,4,5,0.0019004180919802356
216,3000,4,3,0.0011402508551881414
217,3000,4,3,0.0011363636363636363
218,3000,4,15,0.005681818181818182
219,3000,4,5,0.0019054878048780487
220,3000,4,5,0.0018960940462646946
221,3000,4,13,0.004920514761544285
222,3000,4,3,0.0011355034065102195
223,3000,4,3,0.0011325028312570782
224,3000,4,2,0.0007590132827324478
225,3000,4,4,0.0015180265654648956
226,3000,4,7,0.0026575550493545936
227,3000,4,2,0.0007593014426727411
228,3000,4,4,0.0015186028853454822
229,3000,4,2,0.0007550018875047187
230,3000,4,3,0.0011402508551881414
231,3000,4,8,0.0030429821224800305
232,3000,4,8,0.003020007550018875
233,3000,4,10,0.003775009437523594
234,3000,4,3,0.001128668171557562
235,3000,4,3,0.0011329305135951663
236,3000,4,3,0.0011329305135951663
237,3000,4,12,0.0045662100456621
238,3000,4,5,0.0018825301204819277
239,3000,4,4,0.0015060240963855422
240,3000,4,5,0.001889644746787604
241,3000,4,9,0.003389830508474576
242,3000,4,18,0.006708907938874394
243,3000,4,4,0.0015100037750094375
244,3000,4,8,0.003020007550018875
245,3000,4,2,0.0007550018875047187
246,3000,4,9,0.0033809166040570998
247,3000,4,9,0.003367003367003367
248,3000,4,3,0.0011325028312570782
249,3000,4,3,0.0011325028312570782
250,3000,4,4,0.0015105740181268882
251,3000,4,8,0.0030165912518853697
252,3000,4,2,0.0007558578987150416
253,3000,4,2,0.0007541478129713424
254,3000,4,5,0.0018811136192626034
255,3000,4,3,0.001128668171557562
256,3000,4,2,0.0007593014426727411
257,3000,4,2,0.0007561436672967864
258,3000,4,2,0.0007561436672967864
259,3000,4,4,0.0015117157974300832
260,3000,4,3,0.0011337868480725624
261,3000,4,8,0.003048780487804878
262,3000,4,7,0.0026676829268292685
263,3000,4,10,0.003786444528587656
264,3000,4,4,0.0015145778114350624
265,3000,4,3,0.0011380880121396055
266,3000,4,3,0.0011380880121396055
267,3000,4,2,0.0007587253414264037
268,3000,4,2,0.0007587253414264037
269,3000,4,6,0.002276176024279211
270,3000,4,5,0.0018839487565938207
271,3000,4,5,0.0018839487565938207
272,3000,4,2,0.000758150113722517
273,3000,4,14,0.005283018867924529
274,3000,4,2,0.0007621951219512195
275,3000,4,2,0.0007558578987150416
276,3000,4,6,0.0022675736961451248
277,3000,4,21,0.00794251134644478
278,3000,4,3,0.0011346444780635401
