,n,k,n_changes,n_matches,percent_changed
0,875,9,232,836,0.27751196172248804
1,875,9,231,840,0.275
2,875,9,273,846,0.32269503546099293
3,875,9,248,842,0.29453681710213775
4,875,9,227,839,0.27056019070321813
5,875,9,234,846,0.2765957446808511
6,875,9,300,839,0.3575685339690107
7,875,9,274,844,0.3246445497630332
8,875,9,257,839,0.3063170441001192
9,875,9,232,845,0.27455621301775146
10,875,9,197,837,0.23536439665471923
11,875,9,253,832,0.30408653846153844
12,875,9,285,844,0.33767772511848343
13,875,9,247,845,0.2923076923076923
14,875,9,217,842,0.25771971496437057
15,875,9,286,843,0.33926453143534996
16,875,9,240,837,0.2867383512544803
17,875,9,294,844,0.34834123222748814
18,875,9,265,840,0.31547619047619047
19,875,9,232,837,0.27718040621266427
20,875,9,234,840,0.2785714285714286
21,875,9,213,843,0.2526690391459075
22,875,9,272,836,0.3253588516746411
23,875,9,237,841,0.28180737217598095
24,875,9,314,841,0.3733650416171225
25,875,9,277,837,0.3309438470728793
26,875,9,261,840,0.3107142857142857
27,875,9,214,837,0.25567502986857826
28,875,9,303,838,0.3615751789976134
29,875,9,188,837,0.22461170848267623
30,875,9,205,840,0.24404761904761904
31,875,9,206,835,0.2467065868263473
32,875,9,289,835,0.3461077844311377
33,875,9,256,836,0.3062200956937799
34,875,9,257,832,0.3088942307692308
35,875,9,275,838,0.32816229116945106
36,875,9,298,843,0.3534994068801898
37,875,9,247,845,0.2923076923076923
38,875,9,222,843,0.26334519572953735
39,875,9,192,833,0.2304921968787515
40,875,9,218,844,0.25829383886255924
41,875,9,231,843,0.27402135231316727
42,875,9,234,846,0.2765957446808511
43,875,9,289,842,0.34323040380047504
44,875,9,311,841,0.3697978596908442
45,875,9,277,836,0.33133971291866027
46,875,9,242,839,0.28843861740166865
47,875,9,334,843,0.3962040332147094
48,875,9,275,837,0.32855436081242534
49,875,9,318,837,0.37992831541218636
50,875,9,256,843,0.3036773428232503
51,875,9,222,844,0.26303317535545023
52,875,9,244,832,0.2932692307692308
53,875,9,313,843,0.37129300118623965
54,875,9,317,836,0.3791866028708134
55,875,9,194,840,0.23095238095238096
56,875,9,211,844,0.25
57,875,9,256,841,0.30439952437574314
58,875,9,250,838,0.29832935560859186
59,875,9,302,841,0.3590963139120095
60,875,9,221,838,0.2637231503579952
61,875,9,177,834,0.21223021582733814
62,875,9,251,841,0.2984542211652794
63,875,9,260,834,0.3117505995203837
64,875,9,251,841,0.2984542211652794
65,875,9,236,839,0.28128724672228844
66,875,9,216,843,0.25622775800711745
67,875,9,224,843,0.265717674970344
68,875,9,231,842,0.27434679334916867
69,875,9,247,843,0.2930011862396204
70,875,9,212,842,0.2517814726840855
71,875,9,217,837,0.25925925925925924
72,875,9,254,844,0.3009478672985782
73,875,9,261,838,0.31145584725536996
74,875,9,272,842,0.32304038004750596
75,875,9,247,841,0.29369797859690844
76,875,9,236,840,0.28095238095238095
77,875,9,239,841,0.28418549346016647
78,875,9,289,842,0.34323040380047504
79,875,9,281,845,0.33254437869822484
80,875,9,268,847,0.31641086186540734
81,875,9,256,843,0.3036773428232503
82,875,9,312,841,0.37098692033293695
83,875,9,172,844,0.2037914691943128
84,875,9,232,845,0.27455621301775146
85,875,9,283,837,0.33811230585424135
86,875,9,223,842,0.2648456057007126
87,875,9,320,840,0.38095238095238093
88,875,9,173,840,0.20595238095238094
89,875,9,278,845,0.3289940828402367
90,875,9,244,831,0.29362214199759323
91,875,9,286,834,0.34292565947242204
92,875,9,316,833,0.3793517406962785
93,875,9,212,837,0.2532855436081243
94,875,9,202,839,0.24076281287246723
95,875,9,243,843,0.28825622775800713
96,875,9,274,836,0.3277511961722488
97,875,9,231,841,0.2746730083234245
98,875,9,273,842,0.32422802850356297
99,875,9,253,839,0.30154946364719903
