,n,k,n_changes,n_matches,percent_changed
0,1000,6,71,930,0.07634408602150537
1,1000,6,77,926,0.08315334773218143
2,1000,6,133,930,0.14301075268817204
3,1000,6,71,932,0.07618025751072961
4,1000,6,129,927,0.13915857605177995
5,1000,6,65,930,0.06989247311827956
6,1000,6,40,928,0.04310344827586207
7,1000,6,46,927,0.04962243797195254
8,1000,6,38,919,0.041349292709466814
9,1000,6,127,928,0.13685344827586207
10,1000,6,102,932,0.10944206008583691
11,1000,6,72,924,0.07792207792207792
12,1000,6,56,924,0.06060606060606061
13,1000,6,112,926,0.12095032397408208
14,1000,6,93,928,0.10021551724137931
15,1000,6,76,927,0.08198489751887811
16,1000,6,22,934,0.023554603854389723
17,1000,6,48,925,0.05189189189189189
18,1000,6,60,927,0.06472491909385113
19,1000,6,98,927,0.10571736785329018
20,1000,6,74,916,0.08078602620087336
21,1000,6,55,926,0.05939524838012959
22,1000,6,65,933,0.06966773847802786
23,1000,6,84,931,0.09022556390977443
24,1000,6,169,933,0.18113612004287247
25,1000,6,85,928,0.09159482758620689
26,1000,6,80,925,0.08648648648648649
27,1000,6,84,914,0.09190371991247265
28,1000,6,60,930,0.06451612903225806
29,1000,6,79,933,0.08467309753483387
30,1000,6,101,934,0.10813704496788008
31,1000,6,53,933,0.05680600214362272
32,1000,6,48,932,0.05150214592274678
33,1000,6,102,926,0.1101511879049676
34,1000,6,92,932,0.09871244635193133
35,1000,6,93,919,0.10119695321001088
36,1000,6,103,920,0.11195652173913044
37,1000,6,50,923,0.05417118093174431
38,1000,6,65,922,0.07049891540130152
39,1000,6,121,930,0.13010752688172042
40,1000,6,79,927,0.08522114347357065
41,1000,6,42,929,0.04520990312163617
42,1000,6,92,925,0.09945945945945946
43,1000,6,93,924,0.10064935064935066
44,1000,6,69,928,0.07435344827586207
45,1000,6,138,926,0.1490280777537797
46,1000,6,145,922,0.15726681127982647
47,1000,6,94,923,0.10184182015167931
48,1000,6,64,923,0.06933911159263272
49,1000,6,106,934,0.11349036402569593
50,1000,6,121,933,0.12968917470525188
51,1000,6,93,930,0.1
52,1000,6,97,928,0.10452586206896551
53,1000,6,89,928,0.09590517241379311
54,1000,6,92,920,0.1
55,1000,6,98,926,0.10583153347732181
56,1000,6,55,926,0.05939524838012959
57,1000,6,32,917,0.03489640130861505
58,1000,6,49,932,0.05257510729613734
59,1000,6,44,931,0.047261009667024706
60,1000,6,105,922,0.113882863340564
61,1000,6,152,930,0.16344086021505377
62,1000,6,64,928,0.06896551724137931
63,1000,6,63,925,0.0681081081081081
64,1000,6,84,931,0.09022556390977443
65,1000,6,99,934,0.10599571734475374
66,1000,6,110,933,0.11789924973204716
67,1000,6,18,928,0.01939655172413793
68,1000,6,107,929,0.11517761033369214
69,1000,6,113,930,0.12150537634408602
70,1000,6,57,921,0.06188925081433225
71,1000,6,43,932,0.046137339055793994
72,1000,6,40,929,0.04305705059203445
73,1000,6,110,932,0.11802575107296137
74,1000,6,52,912,0.05701754385964912
75,1000,6,126,927,0.13592233009708737
76,1000,6,117,936,0.125
77,1000,6,115,932,0.12339055793991416
78,1000,6,126,932,0.1351931330472103
79,1000,6,90,929,0.0968783638320775
80,1000,6,59,934,0.06316916488222699
81,1000,6,21,923,0.02275189599133261
82,1000,6,69,933,0.07395498392282958
83,1000,6,112,928,0.1206896551724138
84,1000,6,84,923,0.09100758396533044
85,1000,6,91,935,0.09732620320855614
86,1000,6,114,930,0.12258064516129032
87,1000,6,93,920,0.10108695652173913
88,1000,6,43,935,0.045989304812834225
89,1000,6,79,925,0.08540540540540541
90,1000,6,70,930,0.07526881720430108
91,1000,6,57,922,0.06182212581344902
92,1000,6,107,929,0.11517761033369214
93,1000,6,140,941,0.1487778958554729
94,1000,6,79,928,0.08512931034482758
95,1000,6,67,931,0.0719656283566058
96,1000,6,94,932,0.10085836909871244
97,1000,6,24,924,0.025974025974025976
98,1000,6,85,933,0.09110396570203644
99,1000,6,95,928,0.10237068965517242
100,1000,6,50,936,0.053418803418803416
101,1000,6,91,934,0.0974304068522484
102,1000,6,73,930,0.07849462365591398
103,1000,6,86,936,0.09188034188034189
104,1000,6,141,937,0.15048025613660618
105,1000,6,41,931,0.04403866809881848
106,1000,6,50,924,0.05411255411255411
107,1000,6,89,925,0.09621621621621622
108,1000,6,49,917,0.05343511450381679
109,1000,6,101,929,0.10871905274488698
110,1000,6,40,930,0.043010752688172046
111,1000,6,89,934,0.09528907922912205
112,1000,6,51,921,0.05537459283387622
113,1000,6,26,917,0.028353326063249727
114,1000,6,60,937,0.064034151547492
115,1000,6,56,921,0.06080347448425624
116,1000,6,101,926,0.10907127429805616
117,1000,6,74,925,0.08
118,1000,6,95,927,0.10248112189859762
119,1000,6,97,925,0.10486486486486486
120,1000,6,111,933,0.1189710610932476
121,1000,6,97,918,0.1056644880174292
122,1000,6,109,934,0.11670235546038545
123,1000,6,97,924,0.10497835497835498
124,1000,6,89,923,0.09642470205850487
125,1000,6,97,936,0.10363247863247864
126,1000,6,49,933,0.05251875669882101
127,1000,6,63,928,0.06788793103448276
128,1000,6,106,921,0.11509229098805646
129,1000,6,116,925,0.1254054054054054
130,1000,6,75,940,0.0797872340425532
131,1000,6,4,930,0.004301075268817204
132,1000,6,82,929,0.08826695371367062
133,1000,6,115,922,0.12472885032537961
134,1000,6,82,928,0.08836206896551724
135,1000,6,55,919,0.05984766050054407
136,1000,6,98,932,0.10515021459227468
137,1000,6,39,935,0.04171122994652406
138,1000,6,87,936,0.09294871794871795
139,1000,6,43,926,0.04643628509719223
140,1000,6,104,923,0.11267605633802817
141,1000,6,138,933,0.14790996784565916
142,1000,6,79,928,0.08512931034482758
143,1000,6,71,925,0.07675675675675675
144,1000,6,87,939,0.0926517571884984
145,1000,6,85,934,0.09100642398286937
146,1000,6,50,931,0.05370569280343716
147,1000,6,76,931,0.08163265306122448
148,1000,6,45,928,0.04849137931034483
149,1000,6,26,925,0.02810810810810811
150,1000,6,93,926,0.10043196544276457
151,1000,6,103,931,0.11063372717508056
152,1000,6,87,922,0.09436008676789588
153,1000,6,154,925,0.16648648648648648
154,1000,6,71,932,0.07618025751072961
155,1000,6,96,929,0.10333692142088267
156,1000,6,49,918,0.05337690631808279
157,1000,6,88,927,0.09492988133764833
158,1000,6,126,916,0.13755458515283842
159,1000,6,80,926,0.08639308855291576
160,1000,6,100,928,0.10775862068965517
161,1000,6,82,929,0.08826695371367062
162,1000,6,63,931,0.06766917293233082
163,1000,6,61,925,0.06594594594594595
164,1000,6,156,919,0.16974972796517954
165,1000,6,82,935,0.0877005347593583
166,1000,6,47,935,0.05026737967914439
167,1000,6,32,922,0.03470715835140998
168,1000,6,75,921,0.08143322475570032
169,1000,6,58,933,0.06216505894962487
170,1000,6,72,933,0.07717041800643087
171,1000,6,18,927,0.019417475728155338
172,1000,6,67,928,0.07219827586206896
173,1000,6,145,927,0.15641855447680691
174,1000,6,37,922,0.04013015184381779
175,1000,6,35,930,0.03763440860215054
176,1000,6,126,923,0.13651137594799567
177,1000,6,124,928,0.1336206896551724
178,1000,6,71,915,0.07759562841530054
179,1000,6,58,920,0.06304347826086956
180,1000,6,50,925,0.05405405405405406
181,1000,6,92,920,0.1
182,1000,6,110,935,0.11764705882352941
183,1000,6,110,925,0.11891891891891893
184,1000,6,84,927,0.09061488673139159
185,1000,6,79,928,0.08512931034482758
186,1000,6,86,928,0.09267241379310345
187,1000,6,54,919,0.058759521218716
188,1000,6,82,932,0.08798283261802575
189,1000,6,94,918,0.10239651416122005
190,1000,6,72,929,0.077502691065662
191,1000,6,73,926,0.07883369330453564
192,1000,6,122,935,0.1304812834224599
193,1000,6,81,932,0.08690987124463519
194,1000,6,78,934,0.0835117773019272
195,1000,6,74,935,0.07914438502673797
196,1000,6,37,928,0.03987068965517242
197,1000,6,76,920,0.08260869565217391
198,1000,6,85,930,0.0913978494623656
199,1000,6,98,934,0.10492505353319058
200,1000,6,66,916,0.07205240174672489
201,1000,6,62,926,0.06695464362850972
202,1000,6,68,926,0.0734341252699784
203,1000,6,110,934,0.11777301927194861
204,1000,6,84,925,0.09081081081081081
205,1000,6,86,925,0.09297297297297297
206,1000,6,20,926,0.02159827213822894
207,1000,6,98,925,0.10594594594594595
208,1000,6,103,926,0.11123110151187905
209,1000,6,81,930,0.08709677419354839
210,1000,6,46,929,0.04951560818083961
211,1000,6,86,938,0.09168443496801706
212,1000,6,34,924,0.0367965367965368
213,1000,6,63,920,0.06847826086956521
214,1000,6,96,936,0.10256410256410256
215,1000,6,80,927,0.08629989212513485
216,1000,6,76,928,0.08189655172413793
217,1000,6,66,926,0.07127429805615551
218,1000,6,94,917,0.1025081788440567
219,1000,6,27,926,0.029157667386609073
220,1000,6,98,919,0.10663764961915125
221,1000,6,120,923,0.13001083423618634
222,1000,6,3,921,0.003257328990228013
223,1000,6,114,919,0.12404787812840043
224,1000,6,99,929,0.10656620021528525
225,1000,6,134,937,0.14300960512273211
226,1000,6,6,928,0.00646551724137931
227,1000,6,17,926,0.0183585313174946
228,1000,6,30,932,0.032188841201716736
229,1000,6,49,927,0.05285868392664509
230,1000,6,15,924,0.016233766233766232
231,1000,6,82,929,0.08826695371367062
232,1000,6,127,922,0.13774403470715835
233,1000,6,77,922,0.08351409978308026
234,1000,6,60,923,0.06500541711809317
235,1000,6,122,931,0.1310418904403867
236,1000,6,66,933,0.0707395498392283
237,1000,6,59,925,0.06378378378378378
238,1000,6,182,924,0.19696969696969696
239,1000,6,81,923,0.08775731310942579
240,1000,6,43,927,0.04638619201725998
241,1000,6,86,927,0.09277238403451996
242,1000,6,68,926,0.0734341252699784
243,1000,6,89,925,0.09621621621621622
244,1000,6,149,927,0.16073354908306364
245,1000,6,61,927,0.06580366774541532
246,1000,6,89,925,0.09621621621621622
247,1000,6,84,931,0.09022556390977443
248,1000,6,28,928,0.03017241379310345
249,1000,6,106,930,0.11397849462365592
250,1000,6,90,926,0.09719222462203024
251,1000,6,72,929,0.077502691065662
252,1000,6,109,928,0.11745689655172414
253,1000,6,151,925,0.16324324324324324
254,1000,6,68,935,0.07272727272727272
255,1000,6,83,924,0.08982683982683982
256,1000,6,67,924,0.07251082251082251
257,1000,6,142,927,0.15318230852211434
258,1000,6,71,936,0.07585470085470085
259,1000,6,89,925,0.09621621621621622
260,1000,6,43,926,0.04643628509719223
261,1000,6,118,925,0.12756756756756757
262,1000,6,148,928,0.15948275862068967
263,1000,6,121,917,0.13195201744820065
264,1000,6,96,931,0.10311493018259936
265,1000,6,102,927,0.11003236245954692
266,1000,6,77,923,0.08342361863488625
267,1000,6,64,919,0.06964091403699674
268,1000,6,104,936,0.1111111111111111
269,1000,6,129,929,0.13885898815931108
270,1000,6,127,932,0.13626609442060086
271,1000,6,158,927,0.1704422869471413
272,1000,6,128,930,0.13763440860215054
273,1000,6,19,930,0.02043010752688172
274,1000,6,28,930,0.030107526881720432
275,1000,6,85,915,0.09289617486338798
276,1000,6,58,932,0.06223175965665236
277,1000,6,119,928,0.12823275862068967
278,1000,6,117,935,0.12513368983957218
279,1000,6,57,932,0.0611587982832618
280,1000,6,173,919,0.1882480957562568
281,1000,6,46,925,0.04972972972972973
282,1000,6,115,931,0.12352309344790548
283,1000,6,114,930,0.12258064516129032
284,1000,6,83,923,0.08992416034669556
285,1000,6,46,924,0.049783549783549784
286,1000,6,101,927,0.10895361380798274
287,1000,6,67,920,0.07282608695652174
288,1000,6,132,942,0.14012738853503184
289,1000,6,74,931,0.079484425349087
290,1000,6,90,928,0.09698275862068965
291,1000,6,70,922,0.07592190889370933
292,1000,6,97,939,0.1033013844515442
293,1000,6,115,933,0.1232583065380493
294,1000,6,77,937,0.08217716115261472
295,1000,6,31,921,0.033659066232356136
296,1000,6,77,924,0.08333333333333333
297,1000,6,92,933,0.09860664523043944
298,1000,6,148,927,0.15965480043149946
299,1000,6,59,929,0.06350914962325081
300,1000,6,86,921,0.09337676438653637
301,1000,6,91,929,0.09795479009687837
302,1000,6,101,930,0.1086021505376344
303,1000,6,103,919,0.11207834602829161
304,1000,6,108,931,0.11600429645542427
305,1000,6,66,935,0.07058823529411765
306,1000,6,37,935,0.039572192513368985
307,1000,6,136,924,0.1471861471861472
308,1000,6,82,927,0.08845738942826321
309,1000,6,113,926,0.12203023758099352
310,1000,6,92,918,0.10021786492374728
311,1000,6,115,923,0.12459371614301191
312,1000,6,69,928,0.07435344827586207
313,1000,6,57,922,0.06182212581344902
314,1000,6,80,929,0.0861141011840689
315,1000,6,69,924,0.07467532467532467
316,1000,6,52,927,0.05609492988133765
317,1000,6,60,933,0.06430868167202572
318,1000,6,135,942,0.14331210191082802
319,1000,6,73,919,0.0794341675734494
320,1000,6,113,933,0.12111468381564845
321,1000,6,49,933,0.05251875669882101
322,1000,6,69,933,0.07395498392282958
323,1000,6,115,933,0.1232583065380493
324,1000,6,28,924,0.030303030303030304
325,1000,6,90,924,0.09740259740259741
326,1000,6,73,935,0.07807486631016043
327,1000,6,149,928,0.16056034482758622
328,1000,6,59,929,0.06350914962325081
329,1000,6,82,934,0.08779443254817987
330,1000,6,43,921,0.04668838219326819
331,1000,6,110,922,0.1193058568329718
332,1000,6,145,933,0.15541264737406216
333,1000,6,102,938,0.10874200426439233
334,1000,6,90,929,0.0968783638320775
335,1000,6,89,923,0.09642470205850487
336,1000,6,67,936,0.07158119658119658
337,1000,6,115,935,0.12299465240641712
338,1000,6,80,934,0.08565310492505353
339,1000,6,66,932,0.07081545064377683
340,1000,6,119,924,0.12878787878787878
341,1000,6,113,930,0.12150537634408602
342,1000,6,128,933,0.13719185423365488
343,1000,6,18,923,0.01950162513542795
344,1000,6,65,921,0.07057546145494029
345,1000,6,39,929,0.04198062432723358
346,1000,6,65,928,0.07004310344827586
347,1000,6,62,926,0.06695464362850972
348,1000,6,122,921,0.13246471226927253
349,1000,6,71,927,0.07659115426105717
350,1000,6,58,929,0.062432723358449946
351,1000,6,39,936,0.041666666666666664
352,1000,6,30,933,0.03215434083601286
353,1000,6,58,934,0.06209850107066381
354,1000,6,81,929,0.08719052744886975
355,1000,6,142,923,0.15384615384615385
356,1000,6,57,928,0.061422413793103446
357,1000,6,44,915,0.048087431693989074
358,1000,6,12,931,0.01288936627282492
359,1000,6,62,917,0.06761177753544166
360,1000,6,47,916,0.05131004366812227
361,1000,6,78,937,0.0832443970117396
362,1000,6,62,929,0.06673842841765339
363,1000,6,85,937,0.09071504802561366
364,1000,6,141,927,0.15210355987055016
365,1000,6,75,923,0.08125677139761647
366,1000,6,32,920,0.034782608695652174
367,1000,6,102,928,0.10991379310344827
368,1000,6,46,933,0.04930332261521972
369,1000,6,105,931,0.11278195488721804
370,1000,6,77,919,0.08378672470076169
371,1000,6,129,929,0.13885898815931108
372,1000,6,83,926,0.08963282937365011
373,1000,6,115,939,0.12247071352502663
374,1000,6,53,925,0.057297297297297295
375,1000,6,82,920,0.0891304347826087
376,1000,6,101,932,0.10836909871244635
377,1000,6,115,924,0.12445887445887446
378,1000,6,146,930,0.15698924731182795
379,1000,6,11,929,0.011840688912809472
380,1000,6,102,927,0.11003236245954692
381,1000,6,76,927,0.08198489751887811
382,1000,6,114,928,0.12284482758620689
383,1000,6,81,932,0.08690987124463519
384,1000,6,94,926,0.10151187904967603
385,1000,6,91,921,0.0988056460369164
386,1000,6,108,919,0.117519042437432
387,1000,6,56,925,0.06054054054054054
388,1000,6,78,932,0.08369098712446352
389,1000,6,43,924,0.046536796536796536
390,1000,6,155,929,0.1668460710441335
391,1000,6,138,927,0.1488673139158576
392,1000,6,65,925,0.07027027027027027
393,1000,6,69,932,0.0740343347639485
394,1000,6,124,930,0.13333333333333333
395,1000,6,116,935,0.12406417112299466
396,1000,6,121,931,0.12996777658431793
397,1000,6,55,932,0.059012875536480686
398,1000,6,61,929,0.06566200215285253
399,1000,6,97,927,0.104638619201726
400,1000,6,79,928,0.08512931034482758
401,1000,6,97,927,0.104638619201726
402,1000,6,87,925,0.09405405405405405
403,1000,6,46,933,0.04930332261521972
404,1000,6,43,929,0.04628632938643703
405,1000,6,78,928,0.08405172413793104
406,1000,6,130,935,0.13903743315508021
407,1000,6,67,923,0.07258938244853738
408,1000,6,92,928,0.09913793103448276
409,1000,6,99,932,0.10622317596566523
410,1000,6,134,922,0.14533622559652928
411,1000,6,54,929,0.0581270182992465
412,1000,6,106,934,0.11349036402569593
413,1000,6,106,931,0.11385606874328678
414,1000,6,77,923,0.08342361863488625
415,1000,6,104,930,0.11182795698924732
416,1000,6,90,925,0.0972972972972973
417,1000,6,72,931,0.07733619763694952
418,1000,6,91,932,0.09763948497854077
419,1000,6,68,930,0.07311827956989247
420,1000,6,59,921,0.06406080347448426
421,1000,6,70,927,0.07551240560949299
422,1000,6,75,924,0.08116883116883117
423,1000,6,75,930,0.08064516129032258
424,1000,6,97,930,0.1043010752688172
425,1000,6,139,931,0.14930182599355532
426,1000,6,121,933,0.12968917470525188
427,1000,6,54,918,0.058823529411764705
428,1000,6,48,934,0.05139186295503212
429,1000,6,58,920,0.06304347826086956
430,1000,6,110,923,0.11917659804983749
431,1000,6,72,932,0.07725321888412018
432,1000,6,92,939,0.0979765708200213
433,1000,6,59,926,0.06371490280777538
434,1000,6,96,926,0.10367170626349892
435,1000,6,63,932,0.06759656652360516
436,1000,6,38,928,0.040948275862068964
437,1000,6,115,923,0.12459371614301191
438,1000,6,63,918,0.06862745098039216
439,1000,6,124,929,0.13347685683530677
440,1000,6,90,930,0.0967741935483871
441,1000,6,136,931,0.1460794844253491
442,1000,6,77,931,0.08270676691729323
443,1000,6,93,924,0.10064935064935066
444,1000,6,105,925,0.11351351351351352
445,1000,6,115,926,0.12419006479481641
446,1000,6,101,924,0.10930735930735931
447,1000,6,60,928,0.06465517241379311
448,1000,6,81,923,0.08775731310942579
449,1000,6,19,926,0.020518358531317494
450,1000,6,119,924,0.12878787878787878
451,1000,6,78,923,0.08450704225352113
452,1000,6,53,929,0.05705059203444564
453,1000,6,131,934,0.14025695931477516
454,1000,6,119,930,0.12795698924731183
455,1000,6,40,935,0.0427807486631016
456,1000,6,47,923,0.050920910075839654
457,1000,6,108,929,0.116254036598493
458,1000,6,46,916,0.05021834061135371
459,1000,6,79,938,0.08422174840085288
460,1000,6,95,939,0.10117145899893504
461,1000,6,68,933,0.07288317256162916
462,1000,6,94,934,0.1006423982869379
463,1000,6,72,931,0.07733619763694952
464,1000,6,85,935,0.09090909090909091
465,1000,6,54,928,0.05818965517241379
466,1000,6,62,925,0.06702702702702702
467,1000,6,146,928,0.15732758620689655
468,1000,6,117,923,0.1267605633802817
469,1000,6,16,935,0.017112299465240642
470,1000,6,109,932,0.11695278969957082
471,1000,6,112,935,0.11978609625668449
472,1000,6,48,927,0.05177993527508091
473,1000,6,197,924,0.2132034632034632
474,1000,6,62,922,0.06724511930585683
475,1000,6,82,927,0.08845738942826321
476,1000,6,55,930,0.05913978494623656
477,1000,6,97,920,0.10543478260869565
478,1000,6,91,930,0.0978494623655914
479,1000,6,82,926,0.08855291576673865
480,1000,6,54,924,0.05844155844155844
481,1000,6,96,931,0.10311493018259936
482,1000,6,71,918,0.07734204793028322
483,1000,6,54,930,0.05806451612903226
484,1000,6,35,929,0.03767491926803014
485,1000,6,84,931,0.09022556390977443
486,1000,6,57,926,0.061555075593952485
487,1000,6,67,934,0.07173447537473233
488,1000,6,106,930,0.11397849462365592
489,1000,6,115,928,0.12392241379310345
490,1000,6,75,932,0.08047210300429185
491,1000,6,86,922,0.09327548806941431
492,1000,6,69,924,0.07467532467532467
493,1000,6,89,921,0.09663409337676439
494,1000,6,126,930,0.13548387096774195
495,1000,6,72,932,0.07725321888412018
496,1000,6,114,925,0.12324324324324325
497,1000,6,40,919,0.04352557127312296
498,1000,6,75,923,0.08125677139761647
499,1000,6,15,913,0.01642935377875137
500,1000,6,77,931,0.08270676691729323
501,1000,6,28,933,0.030010718113612004
502,1000,6,101,927,0.10895361380798274
503,1000,6,54,915,0.05901639344262295
504,1000,6,59,928,0.06357758620689655
505,1000,6,99,926,0.10691144708423327
506,1000,6,40,921,0.04343105320304017
507,1000,6,67,921,0.0727470141150923
508,1000,6,67,927,0.07227615965480043
509,1000,6,51,933,0.05466237942122187
510,1000,6,28,924,0.030303030303030304
511,1000,6,79,928,0.08512931034482758
512,1000,6,75,921,0.08143322475570032
513,1000,6,78,919,0.08487486398258977
514,1000,6,160,933,0.1714898177920686
515,1000,6,12,923,0.013001083423618635
516,1000,6,86,931,0.09237379162191192
517,1000,6,54,928,0.05818965517241379
518,1000,6,88,924,0.09523809523809523
519,1000,6,83,930,0.08924731182795699
520,1000,6,15,927,0.016181229773462782
521,1000,6,153,929,0.16469321851453175
522,1000,6,92,925,0.09945945945945946
523,1000,6,94,929,0.10118406889128095
