,n,k,cycle_lengths,as_percent_of_matches
0,1000,9,29,0.030366492146596858
1,1000,9,138,0.14450261780104712
2,1000,9,23,0.024083769633507852
3,1000,9,28,0.02931937172774869
4,1000,9,15,0.015706806282722512
5,1000,9,45,0.04712041884816754
6,1000,9,4,0.004188481675392671
7,1000,9,2,0.0020942408376963353
8,1000,9,69,0.0720250521920668
9,1000,9,72,0.07515657620041753
10,1000,9,102,0.10647181628392484
11,1000,9,9,0.009394572025052192
12,1000,9,3,0.003131524008350731
13,1000,9,240,0.24896265560165975
14,1000,9,12,0.012448132780082987
15,1000,9,34,0.035269709543568464
16,1000,9,24,0.024896265560165973
17,1000,9,9,0.00933609958506224
18,1000,9,232,0.24141519250780438
19,1000,9,64,0.06659729448491156
20,1000,9,13,0.013527575442247659
21,1000,9,10,0.01040582726326743
22,1000,9,2,0.002081165452653486
23,1000,9,5,0.005202913631633715
24,1000,9,7,0.007284079084287201
25,1000,9,2,0.002081165452653486
26,1000,9,6,0.006243496357960458
27,1000,9,3,0.003121748178980229
28,1000,9,189,0.19708029197080293
29,1000,9,46,0.047966631908237745
30,1000,9,3,0.0031282586027111575
31,1000,9,199,0.20794148380355276
32,1000,9,18,0.018808777429467086
33,1000,9,2,0.0020898641588296763
34,1000,9,39,0.04045643153526971
35,1000,9,201,0.20850622406639005
36,1000,9,3,0.0031120331950207467
37,1000,9,11,0.011410788381742738
38,1000,9,18,0.01867219917012448
39,1000,9,107,0.11088082901554404
40,1000,9,38,0.039378238341968914
41,1000,9,72,0.07461139896373056
42,1000,9,31,0.03212435233160622
43,1000,9,9,0.00932642487046632
44,1000,9,3,0.0031088082901554403
45,1000,9,173,0.1809623430962343
46,1000,9,46,0.04811715481171548
47,1000,9,40,0.04184100418410042
48,1000,9,12,0.012552301255230125
49,1000,9,11,0.011494252873563218
50,1000,9,42,0.0438871473354232
51,1000,9,91,0.09508881922675026
52,1000,9,116,0.12121212121212122
53,1000,9,24,0.025078369905956112
54,1000,9,15,0.01567398119122257
55,1000,9,13,0.013584117032392894
56,1000,9,3,0.003134796238244514
57,1000,9,3,0.003134796238244514
58,1000,9,129,0.13395638629283488
59,1000,9,119,0.12357217030114226
60,1000,9,13,0.013499480789200415
61,1000,9,10,0.010384215991692628
62,1000,9,26,0.027253668763102725
63,1000,9,136,0.14255765199161424
64,1000,9,92,0.09643605870020965
65,1000,9,2,0.0020964360587002098
66,1000,9,2,0.0020964360587002098
67,1000,9,351,0.365625
68,1000,9,5,0.005208333333333333
69,1000,9,57,0.0596234309623431
70,1000,9,27,0.028242677824267783
71,1000,9,44,0.04602510460251046
72,1000,9,82,0.08577405857740586
73,1000,9,28,0.029288702928870293
74,1000,9,9,0.009414225941422594
75,1000,9,8,0.008368200836820083
76,1000,9,9,0.009414225941422594
77,1000,9,79,0.08229166666666667
78,1000,9,61,0.06354166666666666
79,1000,9,109,0.11354166666666667
80,1000,9,8,0.008333333333333333
81,1000,9,8,0.008333333333333333
82,1000,9,3,0.003125
83,1000,9,11,0.011351909184726523
84,1000,9,36,0.03715170278637771
85,1000,9,82,0.0846233230134159
86,1000,9,68,0.07017543859649122
87,1000,9,40,0.0412796697626419
88,1000,9,5,0.005159958720330237
89,1000,9,55,0.05741127348643006
90,1000,9,96,0.10020876826722339
91,1000,9,50,0.05219206680584551
92,1000,9,9,0.009394572025052192
93,1000,9,6,0.006263048016701462
94,1000,9,3,0.003131524008350731
95,1000,9,202,0.21174004192872117
96,1000,9,38,0.039832285115303984
97,1000,9,3,0.0031446540880503146
98,1000,9,6,0.006289308176100629
99,1000,9,3,0.0031446540880503146
100,1000,9,2,0.0020964360587002098
101,1000,9,2,0.0020964360587002098
102,1000,9,199,0.20643153526970953
103,1000,9,38,0.03941908713692946
104,1000,9,198,0.20582120582120583
105,1000,9,19,0.01975051975051975
106,1000,9,20,0.02079002079002079
107,1000,9,2,0.002079002079002079
108,1000,9,17,0.017671517671517672
109,1000,9,2,0.002079002079002079
110,1000,9,73,0.07668067226890757
111,1000,9,156,0.1638655462184874
112,1000,9,29,0.03046218487394958
113,1000,9,30,0.031512605042016806
114,1000,9,4,0.004201680672268907
115,1000,9,74,0.07773109243697479
116,1000,9,214,0.22478991596638656
117,1000,9,23,0.02415966386554622
118,1000,9,4,0.004201680672268907
119,1000,9,5,0.005252100840336135
120,1000,9,54,0.056308654848800835
121,1000,9,12,0.01251303441084463
122,1000,9,183,0.1908237747653806
123,1000,9,39,0.040667361835245046
124,1000,9,20,0.020855057351407715
125,1000,9,14,0.014598540145985401
126,1000,9,2,0.0020855057351407717
127,1000,9,179,0.187434554973822
128,1000,9,56,0.05863874345549738
129,1000,9,7,0.007329842931937173
130,1000,9,106,0.11041666666666666
131,1000,9,129,0.134375
132,1000,9,16,0.016666666666666666
133,1000,9,17,0.017708333333333333
134,1000,9,69,0.07210031347962383
135,1000,9,154,0.16091954022988506
136,1000,9,19,0.019853709508881923
137,1000,9,18,0.018808777429467086
138,1000,9,15,0.01567398119122257
139,1000,9,250,0.25906735751295334
140,1000,9,22,0.022797927461139896
141,1000,9,19,0.019689119170984457
142,1000,9,5,0.0051813471502590676
143,1000,9,79,0.08254963427377221
144,1000,9,219,0.22884012539184953
145,1000,9,35,0.03657262277951933
146,1000,9,5,0.00522466039707419
147,1000,9,5,0.00522466039707419
148,1000,9,81,0.08490566037735849
149,1000,9,12,0.012578616352201259
150,1000,9,24,0.025157232704402517
151,1000,9,67,0.07023060796645703
