,n,k,cycle_lengths,as_percent_of_matches
0,3000,4,5,0.001886080724254998
1,3000,4,2,0.0007544322897019992
2,3000,4,3,0.0011303692539562924
3,3000,4,2,0.0007535795026375283
4,3000,4,4,0.0015100037750094375
5,3000,4,3,0.0011325028312570782
6,3000,4,4,0.0015191796429927839
7,3000,4,4,0.0015191796429927839
8,3000,4,5,0.001893222264293828
9,3000,4,4,0.0015145778114350624
10,3000,4,2,0.0007572889057175312
11,3000,4,2,0.0007572889057175312
12,3000,4,2,0.0007572889057175312
13,3000,4,7,0.002658564375237372
14,3000,4,3,0.0011252813203300824
15,3000,4,5,0.0018754688672168042
16,3000,4,12,0.004511278195488722
17,3000,4,5,0.0018796992481203006
18,3000,4,2,0.0007518796992481203
19,3000,4,6,0.0022675736961451248
20,3000,4,2,0.0007558578987150416
21,3000,4,2,0.0007558578987150416
22,3000,4,4,0.0015094339622641509
23,3000,4,2,0.0007607455306200076
24,3000,4,17,0.006415094339622641
25,3000,4,2,0.0007547169811320754
26,3000,4,2,0.0007547169811320754
27,3000,4,12,0.00452147701582517
28,3000,4,4,0.0015071590052750565
29,3000,4,7,0.0026465028355387526
30,3000,4,3,0.001122754491017964
31,3000,4,2,0.0007485029940119761
32,3000,4,2,0.000757002271006813
33,3000,4,9,0.0034065102195306586
34,3000,4,4,0.001514004542013626
35,3000,4,6,0.002271006813020439
36,3000,4,4,0.0015226494099733537
37,3000,4,2,0.0007613247049866769
38,3000,4,2,0.0007613247049866769
39,3000,4,3,0.0011325028312570782
40,3000,4,5,0.001887504718761797
41,3000,4,8,0.0030097817908201654
42,3000,4,2,0.0007544322897019992
43,3000,4,3,0.001131648434552999
44,3000,4,7,0.0026666666666666666
45,3000,4,5,0.0019047619047619048
46,3000,4,7,0.002655538694992413
47,3000,4,3,0.0011380880121396055
48,3000,4,7,0.002655538694992413
49,3000,4,5,0.001902587519025875
50,3000,4,3,0.001141552511415525
51,3000,4,3,0.0011325028312570782
52,3000,4,2,0.0007550018875047187
53,3000,4,2,0.0007578628268283441
54,3000,4,6,0.002271006813020439
55,3000,4,2,0.000758150113722517
56,3000,4,6,0.0022735884804850324
57,3000,4,6,0.002268431001890359
58,3000,4,8,0.0030383592859855677
59,3000,4,8,0.003008649868371568
60,3000,4,8,0.003029155622870125
61,3000,4,3,0.001135933358576297
62,3000,4,2,0.0007572889057175312
63,3000,4,3,0.001135933358576297
64,3000,4,3,0.0011419870574800152
65,3000,4,3,0.0011419870574800152
66,3000,4,4,0.0015037593984962407
67,3000,4,2,0.0007518796992481203
68,3000,4,13,0.004916792738275341
69,3000,4,5,0.0018968133535660092
70,3000,4,2,0.0007561436672967864
71,3000,4,4,0.001513431706394249
72,3000,4,3,0.0011350737797956867
73,3000,4,18,0.006782215523737754
74,3000,4,7,0.0026595744680851063
75,3000,4,3,0.001135933358576297
76,3000,4,4,0.0015071590052750565
77,3000,4,4,0.0015071590052750565
78,3000,4,6,0.0022598870056497176
79,3000,4,2,0.0007636502481863307
80,3000,4,3,0.001131648434552999
81,3000,4,14,0.005333333333333333
82,3000,4,3,0.001142857142857143
83,3000,4,5,0.0018889308651303363
84,3000,4,5,0.0018889308651303363
85,3000,4,2,0.0007595898214963919
86,3000,4,2,0.0007595898214963919
87,3000,4,4,0.0015100037750094375
88,3000,4,2,0.0007550018875047187
89,3000,4,8,0.003020007550018875
90,3000,4,2,0.0007561436672967864
91,3000,4,3,0.0011299435028248588
92,3000,4,19,0.007207890743550834
93,3000,4,2,0.0007587253414264037
94,3000,4,3,0.0011346444780635401
95,3000,4,4,0.001519756838905775
96,3000,4,5,0.001899696048632219
97,3000,4,6,0.0022615906520919715
98,3000,4,6,0.0022839741149600305
99,3000,4,4,0.0015226494099733537
100,3000,4,5,0.0018740629685157421
101,3000,4,7,0.002623688155922039
102,3000,4,3,0.0011244377811094452
103,3000,4,2,0.000752162467092892
104,3000,4,3,0.0011307953260459858
105,3000,4,3,0.001135933358576297
106,3000,4,2,0.000758150113722517
107,3000,4,3,0.001128668171557562
108,3000,4,2,0.0007524454477050414
109,3000,4,2,0.0007524454477050414
110,3000,4,2,0.0007578628268283441
111,3000,4,6,0.0022839741149600305
112,3000,4,3,0.0011419870574800152
113,3000,4,5,0.001903311762466692
114,3000,4,2,0.0007601672367920942
115,3000,4,4,0.0015128593040847202
116,3000,4,6,0.0022692889561270802
117,3000,4,20,0.007513148009015778
118,3000,4,3,0.0011269722013523666
119,3000,4,9,0.003427265803503427
120,3000,4,2,0.0007544322897019992
121,3000,4,3,0.0011278195488721805
122,3000,4,18,0.006802721088435374
123,3000,4,2,0.0007558578987150416
124,3000,4,3,0.0011337868480725624
125,3000,4,3,0.0011320754716981133
126,3000,4,2,0.0007547169811320754
127,3000,4,13,0.0048982667671439335
128,3000,4,2,0.0007535795026375283
129,3000,4,2,0.0007535795026375283
130,3000,4,6,0.0022813688212927757
131,3000,4,2,0.0007604562737642585
132,3000,4,8,0.003022289384208538
133,3000,4,9,0.003393665158371041
134,3000,4,2,0.0007619047619047619
135,3000,4,6,0.0022813688212927757
136,3000,4,4,0.0015105740181268882
137,3000,4,3,0.0011320754716981133
