,n,k,cycle_lengths,as_percent_of_matches
0,195,8,12,0.06417112299465241
1,195,8,3,0.016042780748663103
2,195,8,38,0.20430107526881722
3,195,8,10,0.053763440860215055
4,195,8,8,0.043010752688172046
5,195,8,6,0.03225806451612903
6,195,8,6,0.03225806451612903
7,195,8,37,0.19576719576719576
8,195,8,3,0.015873015873015872
9,195,8,2,0.010582010582010581
10,195,8,4,0.02197802197802198
11,195,8,24,0.13186813186813187
12,195,8,4,0.02197802197802198
13,195,8,24,0.12972972972972974
14,195,8,2,0.010810810810810811
15,195,8,4,0.021621621621621623
16,195,8,64,0.34594594594594597
17,195,8,4,0.021739130434782608
18,195,8,58,0.31521739130434784
19,195,8,3,0.016304347826086956
20,195,8,12,0.06382978723404255
21,195,8,10,0.05319148936170213
22,195,8,4,0.02127659574468085
23,195,8,6,0.031914893617021274
24,195,8,61,0.3193717277486911
25,195,8,3,0.015706806282722512
26,195,8,2,0.010471204188481676
27,195,8,21,0.11290322580645161
28,195,8,6,0.03225806451612903
29,195,8,5,0.026881720430107527
30,195,8,38,0.20652173913043478
31,195,8,7,0.0374331550802139
32,195,8,39,0.20855614973262032
33,195,8,3,0.016042780748663103
34,195,8,26,0.13612565445026178
35,195,8,2,0.010471204188481676
36,195,8,4,0.020942408376963352
37,195,8,26,0.13829787234042554
38,195,8,8,0.0425531914893617
39,195,8,6,0.031914893617021274
40,195,8,6,0.031914893617021274
41,195,8,6,0.031914893617021274
42,195,8,18,0.09574468085106383
43,195,8,7,0.03723404255319149
44,195,8,39,0.20634920634920634
45,195,8,26,0.13829787234042554
46,195,8,3,0.015957446808510637
47,195,8,5,0.026595744680851064
48,195,8,3,0.015957446808510637
49,195,8,6,0.031914893617021274
50,195,8,10,0.055248618784530384
51,195,8,3,0.016574585635359115
52,195,8,5,0.027624309392265192
53,195,8,2,0.011049723756906077
54,195,8,8,0.0427807486631016
55,195,8,5,0.026737967914438502
56,195,8,3,0.016042780748663103
57,195,8,2,0.010752688172043012
58,195,8,11,0.05913978494623656
59,195,8,8,0.043010752688172046
60,195,8,16,0.08602150537634409
61,195,8,45,0.2393617021276596
62,195,8,3,0.015957446808510637
63,195,8,5,0.026595744680851064
64,195,8,6,0.031914893617021274
65,195,8,3,0.015957446808510637
66,195,8,53,0.2849462365591398
67,195,8,2,0.010752688172043012
68,195,8,2,0.010752688172043012
69,195,8,8,0.043010752688172046
70,195,8,4,0.021505376344086023
71,195,8,16,0.08648648648648649
72,195,8,26,0.14207650273224043
73,195,8,3,0.01639344262295082
74,195,8,9,0.04838709677419355
75,195,8,13,0.06989247311827956
76,195,8,7,0.03763440860215054
77,195,8,24,0.13259668508287292
78,195,8,14,0.07734806629834254
79,195,8,3,0.016574585635359115
80,195,8,5,0.027624309392265192
81,195,8,50,0.27624309392265195
82,195,8,2,0.011049723756906077
83,195,8,2,0.011049723756906077
84,195,8,2,0.011049723756906077
85,195,8,26,0.14207650273224043
86,195,8,10,0.0546448087431694
87,195,8,2,0.01092896174863388
88,195,8,18,0.09523809523809523
89,195,8,28,0.14814814814814814
90,195,8,20,0.10582010582010581
91,195,8,20,0.10810810810810811
92,195,8,4,0.021621621621621623
93,195,8,34,0.1837837837837838
94,195,8,3,0.016216216216216217
95,195,8,43,0.23497267759562843
96,195,8,2,0.01092896174863388
97,195,8,7,0.03825136612021858
98,195,8,4,0.02185792349726776
99,195,8,4,0.02185792349726776
100,195,8,27,0.1443850267379679
101,195,8,34,0.18181818181818182
102,195,8,4,0.0213903743315508
103,195,8,32,0.17391304347826086
104,195,8,10,0.05434782608695652
105,195,8,3,0.016304347826086956
106,195,8,55,0.3005464480874317
107,195,8,2,0.01092896174863388
108,195,8,2,0.01092896174863388
109,195,8,17,0.09090909090909091
110,195,8,15,0.08021390374331551
111,195,8,11,0.058823529411764705
112,195,8,15,0.08021390374331551
113,195,8,8,0.0427807486631016
114,195,8,2,0.0106951871657754
115,195,8,7,0.03723404255319149
116,195,8,7,0.03723404255319149
117,195,8,3,0.015957446808510637
118,195,8,24,0.12631578947368421
119,195,8,11,0.05789473684210526
120,195,8,6,0.031578947368421054
121,195,8,9,0.04736842105263158
122,195,8,9,0.04736842105263158
123,195,8,17,0.09340659340659341
124,195,8,27,0.14835164835164835
125,195,8,4,0.02197802197802198
126,195,8,53,0.2896174863387978
127,195,8,40,0.21739130434782608
128,195,8,14,0.07608695652173914
129,195,8,6,0.03260869565217391
130,195,8,2,0.0106951871657754
131,195,8,25,0.13368983957219252
132,195,8,11,0.058823529411764705
133,195,8,33,0.1774193548387097
134,195,8,12,0.06451612903225806
135,195,8,9,0.047619047619047616
136,195,8,7,0.037037037037037035
137,195,8,42,0.22702702702702704
138,195,8,19,0.10270270270270271
139,195,8,42,0.22340425531914893
140,195,8,9,0.04918032786885246
141,195,8,36,0.19672131147540983
142,195,8,13,0.07103825136612021
143,195,8,4,0.02185792349726776
144,195,8,3,0.01639344262295082
145,195,8,2,0.01092896174863388
146,195,8,3,0.01639344262295082
147,195,8,38,0.20320855614973263
148,195,8,21,0.11229946524064172
149,195,8,2,0.0106951871657754
150,195,8,29,0.15675675675675677
151,195,8,28,0.15135135135135136
152,195,8,4,0.021621621621621623
153,195,8,2,0.010810810810810811
154,195,8,26,0.13612565445026178
155,195,8,13,0.06806282722513089
156,195,8,19,0.09947643979057591
157,195,8,3,0.015706806282722512
158,195,8,11,0.057291666666666664
159,195,8,12,0.0625
160,195,8,6,0.03125
161,195,8,4,0.020833333333333332
162,195,8,15,0.08152173913043478
163,195,8,4,0.021739130434782608
164,195,8,13,0.07065217391304347
165,195,8,9,0.04891304347826087
166,195,8,44,0.2328042328042328
167,195,8,16,0.08465608465608465
168,195,8,2,0.010582010582010581
169,195,8,33,0.18032786885245902
170,195,8,11,0.060109289617486336
171,195,8,7,0.03825136612021858
172,195,8,7,0.03825136612021858
173,195,8,4,0.02185792349726776
174,195,8,54,0.2887700534759358
175,195,8,12,0.06417112299465241
176,195,8,6,0.03208556149732621
177,195,8,5,0.026737967914438502
178,195,8,31,0.17032967032967034
179,195,8,3,0.016483516483516484
180,195,8,2,0.01098901098901099
181,195,8,8,0.043478260869565216
182,195,8,21,0.11413043478260869
183,195,8,2,0.010869565217391304
184,195,8,12,0.06521739130434782
185,195,8,22,0.1164021164021164
186,195,8,14,0.07407407407407407
187,195,8,34,0.18681318681318682
188,195,8,7,0.038461538461538464
189,195,8,2,0.01098901098901099
190,195,8,6,0.03296703296703297
191,195,8,51,0.2727272727272727
192,195,8,12,0.06417112299465241
193,195,8,3,0.016042780748663103
194,195,8,9,0.0481283422459893
195,195,8,41,0.22282608695652173
196,195,8,12,0.06521739130434782
197,195,8,2,0.010869565217391304
198,195,8,3,0.016304347826086956
199,195,8,8,0.043010752688172046
200,195,8,3,0.016129032258064516
201,195,8,31,0.16666666666666666
202,195,8,41,0.21808510638297873
203,195,8,3,0.015957446808510637
204,195,8,26,0.14207650273224043
205,195,8,7,0.03825136612021858
206,195,8,2,0.01092896174863388
207,195,8,2,0.01092896174863388
208,195,8,8,0.0425531914893617
209,195,8,37,0.19680851063829788
210,195,8,4,0.02127659574468085
211,195,8,20,0.10752688172043011
212,195,8,2,0.010752688172043012
213,195,8,26,0.13829787234042554
214,195,8,21,0.11170212765957446
215,195,8,24,0.12834224598930483
216,195,8,24,0.12834224598930483
217,195,8,29,0.15675675675675677
218,195,8,2,0.010810810810810811
219,195,8,18,0.0962566844919786
220,195,8,3,0.016042780748663103
221,195,8,11,0.058823529411764705
222,195,8,3,0.016042780748663103
223,195,8,4,0.021739130434782608
224,195,8,12,0.06521739130434782
225,195,8,14,0.07608695652173914
226,195,8,35,0.19021739130434784
227,195,8,7,0.03804347826086957
228,195,8,14,0.07526881720430108
229,195,8,4,0.021505376344086023
230,195,8,18,0.0967741935483871
231,195,8,5,0.026881720430107527
232,195,8,2,0.010752688172043012
233,195,8,9,0.04864864864864865
234,195,8,13,0.07027027027027027
235,195,8,22,0.11891891891891893
236,195,8,7,0.03783783783783784
237,195,8,4,0.021621621621621623
238,195,8,6,0.03260869565217391
239,195,8,4,0.021739130434782608
240,195,8,14,0.07608695652173914
241,195,8,38,0.20430107526881722
242,195,8,13,0.06989247311827956
243,195,8,6,0.03225806451612903
244,195,8,6,0.03225806451612903
245,195,8,2,0.010752688172043012
246,195,8,3,0.01639344262295082
247,195,8,22,0.12021857923497267
248,195,8,8,0.04371584699453552
249,195,8,2,0.01092896174863388
250,195,8,22,0.11827956989247312
251,195,8,4,0.021505376344086023
252,195,8,8,0.043010752688172046
253,195,8,29,0.15591397849462366
254,195,8,6,0.03225806451612903
255,195,8,6,0.03225806451612903
256,195,8,2,0.010752688172043012
257,195,8,2,0.010752688172043012
258,195,8,18,0.0967741935483871
