,n,k,cycle_lengths_eadam,as_percent_of_matches_eadam
0,2217,4,9,0.004601226993865031
1,2217,4,8,0.00408997955010225
2,2217,4,2,0.0010240655401945725
3,2217,4,2,0.0010214504596527069
4,2217,4,11,0.005652620760534429
5,2217,4,5,0.0025680534155110425
6,2217,4,27,0.013782542113323124
7,2217,4,3,0.0015313935681470138
8,2217,4,2,0.0010224948875255625
9,2217,4,4,0.002044989775051125
10,2217,4,5,0.002552322613578356
11,2217,4,7,0.0035879036391594054
12,2217,4,9,0.0045662100456621
13,2217,4,2,0.0010198878123406426
14,2217,4,2,0.0010136847440446021
15,2217,4,8,0.004071246819338422
16,2217,4,3,0.0015267175572519084
17,2217,4,6,0.0030737704918032786
18,2217,4,11,0.005646817248459959
19,2217,4,2,0.00102880658436214
20,2217,4,7,0.0035551041137633316
21,2217,4,2,0.001015744032503809
22,2217,4,13,0.006718346253229974
23,2217,4,2,0.0010335917312661498
24,2217,4,3,0.0015424164524421595
25,2217,4,3,0.0015282730514518594
26,2217,4,4,0.0020470829068577278
27,2217,4,4,0.0020470829068577278
28,2217,4,9,0.004605936540429887
29,2217,4,3,0.0015353121801432957
30,2217,4,4,0.0020470829068577278
31,2217,4,8,0.004087889626980072
32,2217,4,7,0.0035787321063394683
33,2217,4,7,0.0035714285714285713
34,2217,4,3,0.001530612244897959
35,2217,4,2,0.0010235414534288639
36,2217,4,14,0.0071174377224199285
37,2217,4,7,0.0035989717223650387
38,2217,4,13,0.006670087224217547
39,2217,4,5,0.002565418163160595
40,2217,4,2,0.001026167265264238
41,2217,4,3,0.0015392508978963571
42,2217,4,12,0.006150691952844695
43,2217,4,3,0.0015432098765432098
44,2217,4,3,0.0015432098765432098
45,2217,4,5,0.0025614754098360654
46,2217,4,7,0.0035823950870010235
47,2217,4,6,0.0030706243602865915
48,2217,4,3,0.0015353121801432957
49,2217,4,2,0.0010235414534288639
50,2217,4,4,0.002056555269922879
51,2217,4,5,0.0025693730729701952
52,2217,4,2,0.0010162601626016261
53,2217,4,2,0.0010214504596527069
54,2217,4,4,0.0020429009193054137
55,2217,4,3,0.0015321756894790602
56,2217,4,3,0.0015360983102918587
57,2217,4,2,0.0010240655401945725
58,2217,4,7,0.0035842293906810036
59,2217,4,6,0.0030721966205837174
60,2217,4,2,0.00102880658436214
61,2217,4,7,0.0035879036391594054
62,2217,4,3,0.0015337423312883436
63,2217,4,3,0.0015368852459016393
64,2217,4,8,0.0041258380608561115
65,2217,4,3,0.0015471892728210418
66,2217,4,3,0.0015471892728210418
67,2217,4,5,0.002564102564102564
68,2217,4,2,0.0010240655401945725
69,2217,4,2,0.0010256410256410256
70,2217,4,10,0.005063291139240506
71,2217,4,3,0.0015290519877675841
72,2217,4,2,0.0010309278350515464
73,2217,4,9,0.004603580562659846
74,2217,4,3,0.0015337423312883436
75,2217,4,3,0.0015337423312883436
76,2217,4,12,0.006119326874043855
77,2217,4,3,0.0015298317185109638
78,2217,4,12,0.00606366851945427
79,2217,4,4,0.00202122283981809
80,2217,4,2,0.0010303967027305513
81,2217,4,6,0.0030581039755351682
82,2217,4,8,0.004134366925064599
83,2217,4,2,0.001026694045174538
84,2217,4,4,0.0020335536349771225
85,2217,4,7,0.0035879036391594054
