,n,k,n_in_cycles
0,1,5,112
1,2,5,92
2,2,5,176
3,1,5,56
4,4,5,30
5,2,5,106
6,2,5,35
7,1,5,63
8,1,5,166
9,3,5,105
10,1,5,142
11,6,5,86
12,3,5,14
13,4,5,29
14,4,5,105
15,2,5,29
16,5,5,32
17,2,5,109
18,2,5,176
19,3,5,122
20,2,5,164
21,3,5,25
22,4,5,92
23,3,5,76
24,6,5,41
25,3,5,47
26,2,5,205
27,4,5,117
28,3,5,146
29,2,5,224
30,2,5,47
31,1,5,119
32,2,5,25
33,4,5,25
34,3,5,181
35,4,5,36
36,3,5,197
37,1,5,8
38,3,5,64
39,5,5,125
40,1,5,144
41,1,5,138
42,4,5,184
43,2,5,10
44,3,5,52
45,6,5,50
46,4,5,73
47,4,5,67
48,4,5,26
49,1,5,86
50,5,5,85
51,3,5,74
52,4,5,106
53,3,5,26
54,2,5,217
55,2,5,83
56,5,5,120
57,1,5,2
58,2,5,226
59,4,5,82
60,1,5,118
61,1,5,145
62,4,5,129
63,3,5,207
64,4,5,226
65,3,5,20
66,3,5,136
67,4,5,31
68,2,5,105
69,2,5,30
70,4,5,54
71,2,5,31
72,1,5,155
73,4,5,164
74,2,5,194
75,1,5,139
76,3,5,138
77,3,5,18
78,1,5,19
79,3,5,78
80,3,5,220
81,5,5,57
82,6,5,124
83,2,5,35
84,1,5,140
85,2,5,44
86,3,5,124
87,3,5,36
88,3,5,102
89,3,5,33
90,4,5,152
91,4,5,72
92,1,5,134
93,4,5,44
94,2,5,51
95,4,5,145
96,5,5,71
97,1,5,183
98,3,5,50
99,2,5,42
