,n,k,n_changes,n_matches
0,438,6,62,406
1,438,6,48,398
2,438,6,42,406
3,438,6,12,407
4,438,6,37,409
5,438,6,43,407
6,438,6,0,408
7,438,6,14,403
8,438,6,38,398
9,438,6,35,409
10,438,6,38,409
11,438,6,50,408
12,438,6,44,408
13,438,6,17,403
14,438,6,60,408
15,438,6,75,404
16,438,6,63,404
17,438,6,52,402
18,438,6,49,401
19,438,6,56,410
20,438,6,61,405
21,438,6,26,402
22,438,6,38,407
23,438,6,24,415
24,438,6,29,406
25,438,6,30,410
26,438,6,3,402
27,438,6,20,410
28,438,6,17,401
29,438,6,44,410
30,438,6,62,406
31,438,6,55,412
32,438,6,68,405
33,438,6,15,408
34,438,6,68,405
35,438,6,38,410
36,438,6,55,403
37,438,6,76,405
38,438,6,32,408
39,438,6,18,406
40,438,6,47,400
41,438,6,64,406
42,438,6,34,412
43,438,6,63,406
44,438,6,30,407
45,438,6,47,414
46,438,6,26,406
47,438,6,0,405
48,438,6,52,412
49,438,6,47,402
50,438,6,47,402
51,438,6,37,403
52,438,6,24,409
53,438,6,50,406
54,438,6,66,404
55,438,6,63,401
56,438,6,69,405
57,438,6,58,409
58,438,6,51,403
59,438,6,87,409
60,438,6,16,408
61,438,6,28,405
62,438,6,31,407
63,438,6,40,406
64,438,6,35,404
65,438,6,19,406
66,438,6,48,408
67,438,6,41,401
68,438,6,42,406
69,438,6,71,405
70,438,6,29,408
71,438,6,23,402
72,438,6,63,405
73,438,6,40,408
74,438,6,15,399
75,438,6,84,403
76,438,6,35,401
77,438,6,53,404
78,438,6,37,410
79,438,6,71,411
80,438,6,28,408
81,438,6,5,402
82,438,6,51,410
83,438,6,32,406
84,438,6,26,407
85,438,6,21,405
86,438,6,49,406
87,438,6,57,405
88,438,6,31,405
89,438,6,2,405
90,438,6,50,406
91,438,6,39,409
92,438,6,46,403
93,438,6,41,406
94,438,6,38,402
95,438,6,30,413
96,438,6,40,401
97,438,6,53,408
98,438,6,59,409
99,438,6,34,415
