,n,k,n_changes_eadam,n_matches,n_iterations
0,985,4,0,871,15
1,985,4,0,864,18
2,985,4,0,871,15
3,985,4,0,870,23
4,985,4,4,872,19
5,985,4,16,857,32
6,985,4,0,875,13
7,985,4,0,863,15
8,985,4,0,853,18
9,985,4,0,867,18
10,985,4,8,878,13
11,985,4,14,875,19
12,985,4,22,869,25
13,985,4,30,868,17
14,985,4,4,864,26
15,985,4,12,860,21
16,985,4,0,878,15
17,985,4,30,868,19
18,985,4,12,866,18
19,985,4,0,871,21
20,985,4,0,870,18
21,985,4,8,872,25
22,985,4,10,868,27
23,985,4,0,866,26
24,985,4,26,863,26
25,985,4,30,873,14
26,985,4,0,871,18
27,985,4,0,868,15
28,985,4,10,867,18
29,985,4,28,856,17
30,985,4,32,867,21
31,985,4,8,870,16
32,985,4,6,872,19
33,985,4,16,880,15
34,985,4,10,868,26
35,985,4,18,870,19
36,985,4,0,874,17
37,985,4,0,859,32
38,985,4,0,870,22
39,985,4,0,870,26
40,985,4,12,868,21
41,985,4,12,871,20
42,985,4,0,876,15
43,985,4,0,863,13
44,985,4,0,873,24
45,985,4,0,873,21
46,985,4,12,863,15
47,985,4,8,875,24
48,985,4,0,868,17
49,985,4,24,864,26
50,985,4,0,867,18
51,985,4,8,873,17
52,985,4,4,867,15
53,985,4,0,866,22
54,985,4,6,864,20
55,985,4,0,869,17
56,985,4,0,860,18
57,985,4,10,870,22
58,985,4,36,872,27
59,985,4,8,870,18
60,985,4,0,862,15
61,985,4,0,873,21
62,985,4,0,874,16
63,985,4,20,870,24
64,985,4,0,865,20
65,985,4,8,864,12
66,985,4,30,866,18
67,985,4,0,854,15
68,985,4,0,876,31
69,985,4,14,860,18
70,985,4,4,875,16
71,985,4,4,879,15
72,985,4,0,869,21
73,985,4,10,875,18
74,985,4,14,862,16
75,985,4,8,864,15
76,985,4,6,869,15
77,985,4,0,877,19
78,985,4,0,879,25
79,985,4,0,872,21
80,985,4,10,869,18
81,985,4,0,863,14
82,985,4,4,864,22
83,985,4,26,870,16
84,985,4,10,879,16
85,985,4,12,880,22
86,985,4,0,862,22
87,985,4,8,867,13
88,985,4,30,871,17
89,985,4,0,871,22
90,985,4,12,866,29
91,985,4,6,859,15
92,985,4,6,878,14
93,985,4,0,873,18
94,985,4,0,879,20
95,985,4,16,865,16
96,985,4,0,872,13
97,985,4,32,868,29
98,985,4,10,865,17
99,985,4,12,860,16
