,n,k,n_cycles,n_agents_in_cycles,n_matches,percent_in_cycles
0,1000,4,2,5,864,0.005787037037037037
1,1000,4,0,0,871,0.0
2,1000,4,0,0,883,0.0
3,1000,4,0,0,880,0.0
4,1000,4,1,5,892,0.005605381165919282
5,1000,4,0,0,887,0.0
6,1000,4,2,27,885,0.030508474576271188
7,1000,4,5,22,891,0.024691358024691357
8,1000,4,0,0,882,0.0
9,1000,4,1,10,883,0.011325028312570781
10,1000,4,3,18,882,0.02040816326530612
11,1000,4,3,28,882,0.031746031746031744
12,1000,4,1,4,870,0.004597701149425287
13,1000,4,0,0,881,0.0
14,1000,4,1,2,875,0.002285714285714286
15,1000,4,0,0,880,0.0
16,1000,4,1,2,882,0.0022675736961451248
17,1000,4,0,0,887,0.0
18,1000,4,1,10,880,0.011363636363636364
19,1000,4,1,13,883,0.014722536806342015
20,1000,4,1,4,889,0.0044994375703037125
21,1000,4,1,2,891,0.002244668911335578
22,1000,4,1,3,887,0.0033821871476888386
23,1000,4,0,0,882,0.0
24,1000,4,0,0,886,0.0
25,1000,4,0,0,882,0.0
26,1000,4,4,16,891,0.017957351290684626
27,1000,4,1,2,880,0.0022727272727272726
28,1000,4,1,8,877,0.009122006841505131
29,1000,4,1,4,872,0.0045871559633027525
30,1000,4,1,5,876,0.005707762557077625
31,1000,4,1,6,885,0.006779661016949152
32,1000,4,2,15,878,0.017084282460136675
33,1000,4,0,0,881,0.0
34,1000,4,2,7,883,0.007927519818799546
35,1000,4,4,21,889,0.023622047244094488
36,1000,4,1,3,894,0.003355704697986577
37,1000,4,1,6,870,0.006896551724137931
38,1000,4,0,0,888,0.0
39,1000,4,0,0,874,0.0
40,1000,4,1,2,875,0.002285714285714286
41,1000,4,0,0,885,0.0
42,1000,4,2,8,873,0.009163802978235968
43,1000,4,4,16,884,0.01809954751131222
44,1000,4,2,5,889,0.00562429696287964
45,1000,4,0,0,867,0.0
46,1000,4,2,17,874,0.019450800915331808
47,1000,4,1,2,885,0.0022598870056497176
48,1000,4,0,0,890,0.0
49,1000,4,2,5,875,0.005714285714285714
50,1000,4,0,0,875,0.0
51,1000,4,0,0,884,0.0
52,1000,4,2,14,878,0.015945330296127564
53,1000,4,1,2,882,0.0022675736961451248
54,1000,4,1,4,874,0.004576659038901602
55,1000,4,1,18,880,0.020454545454545454
56,1000,4,1,9,889,0.010123734533183352
57,1000,4,1,2,869,0.0023014959723820483
58,1000,4,1,4,869,0.004602991944764097
59,1000,4,2,6,886,0.006772009029345372
60,1000,4,2,29,878,0.03302961275626424
61,1000,4,1,3,879,0.0034129692832764505
62,1000,4,1,3,884,0.003393665158371041
63,1000,4,0,0,886,0.0
64,1000,4,1,16,876,0.0182648401826484
65,1000,4,1,4,890,0.0044943820224719105
66,1000,4,2,5,878,0.0056947608200455585
67,1000,4,0,0,880,0.0
68,1000,4,0,0,881,0.0
69,1000,4,0,0,893,0.0
70,1000,4,2,8,878,0.009111617312072893
71,1000,4,1,6,870,0.006896551724137931
72,1000,4,0,0,881,0.0
73,1000,4,0,0,876,0.0
74,1000,4,0,0,877,0.0
75,1000,4,1,8,883,0.009060022650056626
76,1000,4,0,0,883,0.0
77,1000,4,1,2,888,0.0022522522522522522
78,1000,4,4,16,878,0.018223234624145785
79,1000,4,1,2,884,0.0022624434389140274
80,1000,4,1,6,875,0.006857142857142857
81,1000,4,1,3,873,0.003436426116838488
82,1000,4,0,0,878,0.0
83,1000,4,0,0,889,0.0
84,1000,4,0,0,883,0.0
85,1000,4,2,14,870,0.016091954022988506
86,1000,4,3,9,883,0.010192525481313703
87,1000,4,2,5,883,0.0056625141562853904
88,1000,4,1,4,872,0.0045871559633027525
89,1000,4,1,2,886,0.002257336343115124
90,1000,4,2,8,877,0.009122006841505131
91,1000,4,0,0,882,0.0
92,1000,4,0,0,888,0.0
93,1000,4,1,6,881,0.00681044267877412
94,1000,4,3,11,882,0.012471655328798186
95,1000,4,1,2,887,0.002254791431792559
96,1000,4,0,0,897,0.0
97,1000,4,1,3,884,0.003393665158371041
98,1000,4,3,15,884,0.016968325791855202
99,1000,4,2,12,877,0.013683010262257697
