,n,k,differences,percent_diff,matches
0,5000,3,0,0.0,4204
1,5000,3,0,0.0,4226
2,5000,3,0,0.0,4189
3,5000,3,0,0.0,4203
4,5000,3,0,0.0,4216
5,5000,3,0,0.0,4197
6,5000,3,0,0.0,4192
7,5000,3,0,0.0,4207
8,5000,3,0,0.0,4229
9,5000,3,0,0.0,4198
10,5000,3,0,0.0,4194
11,5000,3,0,0.0,4200
12,5000,3,0,0.0,4201
13,5000,3,0,0.0,4178
14,5000,3,0,0.0,4230
15,5000,3,0,0.0,4219
16,5000,3,0,0.0,4211
17,5000,3,0,0.0,4211
18,5000,3,0,0.0,4241
19,5000,3,0,0.0,4171
20,5000,3,0,0.0,4202
21,5000,3,0,0.0,4187
22,5000,3,0,0.0,4218
23,5000,3,0,0.0,4204
24,5000,3,0,0.0,4227
25,5000,3,6,0.001426872770511296,4205
26,5000,3,0,0.0,4217
27,5000,3,0,0.0,4189
28,5000,3,0,0.0,4180
29,5000,3,0,0.0,4227
30,5000,3,0,0.0,4171
31,5000,3,0,0.0,4202
32,5000,3,4,0.0009532888465204957,4196
33,5000,3,0,0.0,4212
34,5000,3,0,0.0,4218
35,5000,3,0,0.0,4194
36,5000,3,0,0.0,4225
37,5000,3,0,0.0,4205
38,5000,3,0,0.0,4199
39,5000,3,0,0.0,4222
40,5000,3,0,0.0,4204
41,5000,3,0,0.0,4211
42,5000,3,0,0.0,4199
43,5000,3,0,0.0,4221
44,5000,3,0,0.0,4207
45,5000,3,0,0.0,4206
46,5000,3,0,0.0,4202
47,5000,3,0,0.0,4169
48,5000,3,0,0.0,4215
49,5000,3,0,0.0,4186
50,5000,3,0,0.0,4211
51,5000,3,0,0.0,4205
52,5000,3,0,0.0,4223
53,5000,3,0,0.0,4203
54,5000,3,0,0.0,4211
55,5000,3,0,0.0,4195
56,5000,3,0,0.0,4216
57,5000,3,0,0.0,4201
58,5000,3,0,0.0,4164
59,5000,3,8,0.0018841262364578427,4246
60,5000,3,0,0.0,4192
61,5000,3,0,0.0,4184
62,5000,3,0,0.0,4190
63,5000,3,0,0.0,4212
64,5000,3,0,0.0,4207
65,5000,3,0,0.0,4226
66,5000,3,0,0.0,4196
67,5000,3,0,0.0,4227
68,5000,3,0,0.0,4213
69,5000,3,0,0.0,4196
70,5000,3,0,0.0,4179
71,5000,3,0,0.0,4219
72,5000,3,0,0.0,4215
73,5000,3,0,0.0,4192
74,5000,3,0,0.0,4216
75,5000,3,0,0.0,4200
76,5000,3,0,0.0,4177
77,5000,3,0,0.0,4177
78,5000,3,0,0.0,4191
79,5000,3,0,0.0,4218
80,5000,3,0,0.0,4180
81,5000,3,4,0.0009505703422053232,4208
82,5000,3,0,0.0,4194
83,5000,3,0,0.0,4213
84,5000,3,0,0.0,4190
85,5000,3,0,0.0,4204
86,5000,3,0,0.0,4227
87,5000,3,0,0.0,4212
88,5000,3,0,0.0,4208
89,5000,3,0,0.0,4226
90,5000,3,0,0.0,4179
91,5000,3,0,0.0,4203
92,5000,3,0,0.0,4233
93,5000,3,4,0.0009514747859181732,4204
94,5000,3,0,0.0,4193
95,5000,3,0,0.0,4201
96,5000,3,0,0.0,4206
97,5000,3,0,0.0,4217
98,5000,3,0,0.0,4221
99,5000,3,0,0.0,4218
100,5000,3,0,0.0,4181
101,5000,3,0,0.0,4181
102,5000,3,6,0.0014302741358760429,4195
103,5000,3,0,0.0,4204
104,5000,3,0,0.0,4198
105,5000,3,0,0.0,4211
106,5000,3,0,0.0,4209
107,5000,3,0,0.0,4232
108,5000,3,0,0.0,4189
109,5000,3,0,0.0,4194
110,5000,3,0,0.0,4216
111,5000,3,0,0.0,4170
112,5000,3,0,0.0,4211
113,5000,3,0,0.0,4195
114,5000,3,0,0.0,4202
115,5000,3,0,0.0,4225
116,5000,3,6,0.0014360938247965534,4178
117,5000,3,0,0.0,4212
118,5000,3,0,0.0,4188
119,5000,3,6,0.0014214641080312722,4221
120,5000,3,0,0.0,4207
121,5000,3,0,0.0,4208
122,5000,3,0,0.0,4184
123,5000,3,0,0.0,4208
124,5000,3,4,0.0009458500827618822,4229
125,5000,3,0,0.0,4189
126,5000,3,0,0.0,4192
127,5000,3,0,0.0,4222
128,5000,3,0,0.0,4205
129,5000,3,0,0.0,4213
130,5000,3,0,0.0,4169
131,5000,3,0,0.0,4193
132,5000,3,0,0.0,4224
133,5000,3,0,0.0,4199
134,5000,3,0,0.0,4205
135,5000,3,0,0.0,4205
136,5000,3,0,0.0,4213
137,5000,3,0,0.0,4221
138,5000,3,0,0.0,4196
139,5000,3,0,0.0,4179
140,5000,3,0,0.0,4190
141,5000,3,0,0.0,4200
142,5000,3,0,0.0,4198
143,5000,3,0,0.0,4230
144,5000,3,0,0.0,4192
145,5000,3,0,0.0,4193
146,5000,3,0,0.0,4180
147,5000,3,0,0.0,4224
148,5000,3,0,0.0,4222
149,5000,3,0,0.0,4190
150,5000,3,0,0.0,4197
151,5000,3,0,0.0,4219
152,5000,3,0,0.0,4177
153,5000,3,0,0.0,4185
154,5000,3,0,0.0,4226
155,5000,3,0,0.0,4194
156,5000,3,0,0.0,4204
157,5000,3,0,0.0,4183
158,5000,3,0,0.0,4213
159,5000,3,0,0.0,4193
160,5000,3,0,0.0,4211
161,5000,3,0,0.0,4191
162,5000,3,0,0.0,4196
163,5000,3,0,0.0,4226
164,5000,3,0,0.0,4225
165,5000,3,0,0.0,4218
166,5000,3,0,0.0,4212
167,5000,3,0,0.0,4217
168,5000,3,0,0.0,4193
169,5000,3,0,0.0,4221
170,5000,3,0,0.0,4204
171,5000,3,0,0.0,4215
172,5000,3,0,0.0,4214
173,5000,3,0,0.0,4192
174,5000,3,0,0.0,4182
175,5000,3,0,0.0,4213
176,5000,3,0,0.0,4193
177,5000,3,0,0.0,4192
178,5000,3,0,0.0,4186
179,5000,3,0,0.0,4210
180,5000,3,0,0.0,4200
181,5000,3,0,0.0,4173
182,5000,3,0,0.0,4188
183,5000,3,0,0.0,4224
184,5000,3,0,0.0,4186
185,5000,3,0,0.0,4215
186,5000,3,0,0.0,4209
187,5000,3,0,0.0,4203
