,n,k,n_cycles,n_agents_in_cycles,n_matches,percent_in_cycles
0,700,50,1,571,700,0.8157142857142857
1,700,50,1,566,699,0.8097281831187411
2,700,50,1,562,700,0.8028571428571428
3,700,50,1,568,699,0.8125894134477826
4,700,50,1,599,699,0.8569384835479256
5,700,50,1,577,700,0.8242857142857143
6,700,50,1,602,700,0.86
7,700,50,1,585,700,0.8357142857142857
8,700,50,1,572,700,0.8171428571428572
9,700,50,1,630,699,0.9012875536480687
10,700,50,1,606,699,0.8669527896995708
11,700,50,1,555,699,0.7939914163090128
12,700,50,1,537,700,0.7671428571428571
13,700,50,1,558,700,0.7971428571428572
14,700,50,1,568,700,0.8114285714285714
15,700,50,1,549,700,0.7842857142857143
16,700,50,1,576,700,0.8228571428571428
17,700,50,1,616,700,0.88
18,700,50,1,528,699,0.7553648068669528
19,700,50,1,568,700,0.8114285714285714
20,700,50,1,528,700,0.7542857142857143
21,700,50,1,607,699,0.8683834048640916
22,700,50,1,598,700,0.8542857142857143
23,700,50,2,551,700,0.7871428571428571
24,700,50,1,594,700,0.8485714285714285
25,700,50,1,559,699,0.7997138769670958
26,700,50,1,576,700,0.8228571428571428
27,700,50,1,541,700,0.7728571428571429
28,700,50,1,554,700,0.7914285714285715
29,700,50,1,568,700,0.8114285714285714
30,700,50,1,619,700,0.8842857142857142
31,700,50,1,586,699,0.8383404864091559
32,700,50,1,543,700,0.7757142857142857
33,700,50,1,582,700,0.8314285714285714
34,700,50,1,570,699,0.8154506437768241
35,700,50,1,528,700,0.7542857142857143
36,700,50,1,586,700,0.8371428571428572
37,700,50,1,574,699,0.821173104434907
38,700,50,1,572,700,0.8171428571428572
39,700,50,1,569,700,0.8128571428571428
40,700,50,1,521,700,0.7442857142857143
41,700,50,1,588,700,0.84
42,700,50,1,564,700,0.8057142857142857
43,700,50,1,576,699,0.8240343347639485
44,700,50,1,591,699,0.8454935622317596
45,700,50,1,580,700,0.8285714285714286
46,700,50,1,572,699,0.8183118741058655
47,700,50,1,592,699,0.8469241773962805
48,700,50,1,578,699,0.82689556509299
49,700,50,1,581,700,0.83
50,700,50,1,570,700,0.8142857142857143
51,700,50,1,599,699,0.8569384835479256
52,700,50,1,620,699,0.8869814020028612
53,700,50,1,564,700,0.8057142857142857
54,700,50,1,588,700,0.84
55,700,50,1,543,700,0.7757142857142857
56,700,50,1,568,700,0.8114285714285714
57,700,50,1,600,700,0.8571428571428571
58,700,50,1,538,699,0.7696709585121603
59,700,50,1,574,699,0.821173104434907
60,700,50,1,559,700,0.7985714285714286
61,700,50,1,571,699,0.8168812589413448
62,700,50,1,579,700,0.8271428571428572
63,700,50,1,605,700,0.8642857142857143
64,700,50,1,573,699,0.8197424892703863
65,700,50,1,599,699,0.8569384835479256
66,700,50,1,584,700,0.8342857142857143
67,700,50,1,517,700,0.7385714285714285
68,700,50,1,571,700,0.8157142857142857
69,700,50,1,506,700,0.7228571428571429
70,700,50,1,576,699,0.8240343347639485
71,700,50,1,504,700,0.72
72,700,50,1,585,700,0.8357142857142857
73,700,50,1,610,698,0.8739255014326648
74,700,50,1,563,700,0.8042857142857143
75,700,50,1,577,700,0.8242857142857143
76,700,50,1,557,700,0.7957142857142857
77,700,50,1,551,699,0.7882689556509299
78,700,50,1,544,700,0.7771428571428571
79,700,50,1,570,700,0.8142857142857143
80,700,50,1,573,699,0.8197424892703863
81,700,50,1,533,700,0.7614285714285715
82,700,50,1,553,700,0.79
83,700,50,1,550,699,0.7868383404864091
84,700,50,1,541,699,0.7739628040057225
85,700,50,1,573,699,0.8197424892703863
86,700,50,1,555,700,0.7928571428571428
87,700,50,1,589,700,0.8414285714285714
88,700,50,1,547,700,0.7814285714285715
89,700,50,1,588,700,0.84
90,700,50,1,601,700,0.8585714285714285
91,700,50,1,598,699,0.8555078683834049
92,700,50,1,592,700,0.8457142857142858
93,700,50,1,573,699,0.8197424892703863
94,700,50,1,595,700,0.85
95,700,50,1,590,699,0.844062947067239
96,700,50,1,571,700,0.8157142857142857
97,700,50,1,594,699,0.8497854077253219
98,700,50,1,595,699,0.8512160228898427
99,700,50,1,578,700,0.8257142857142857
